"Geography","county","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"0500000US27147","Steele","MN",37396,0.881,0.032,0.002,0.004,0,0.024,0.056,0.083,79722,0.927,0.284
"0500000US27149","Stevens","MN",9682,0.862,0.018,0.016,0.011,0.004,0.038,0.051,0.079,69737,0.936,0.286
"0500000US27151","Swift","MN",9806,0.919,0.009,0.004,0,0.008,0.015,0.045,0.057,58362,0.931,0.229
"0500000US27153","Todd","MN",25277,0.899,0.005,0.003,0.005,0.002,0.021,0.066,0.074,63216,0.89,0.148
"0500000US27155","Traverse","MN",3345,0.882,0.006,0.067,0,0,0.016,0.029,0.044,63456,0.938,0.162
"0500000US27157","Wabasha","MN",21460,0.954,0.002,0.003,0.006,0.004,0.01,0.02,0.032,75063,0.945,0.267
"0500000US27159","Wadena","MN",14108,0.921,0.005,0.003,0.005,0,0.005,0.06,0.022,54747,0.925,0.184
"0500000US27161","Waseca","MN",18953,0.904,0.008,0.009,0.008,0,0.038,0.032,0.065,71856,0.929,0.22
"0500000US27163","Washington","MN",268651,0.815,0.048,0.003,0.069,0,0.015,0.05,0.046,110828,0.962,0.479
"0500000US27165","Watonwan","MN",11205,0.809,0.004,0.001,0.014,0,0.083,0.089,0.272,65197,0.878,0.182
"0500000US27167","Wilkin","MN",6454,0.932,0.005,0.006,0.001,0,0.02,0.036,0.036,67114,0.933,0.242
"0500000US27169","Winona","MN",49792,0.916,0.014,0.005,0.024,0,0.009,0.033,0.032,66162,0.931,0.318
"0500000US27171","Wright","MN",142543,0.91,0.014,0.003,0.014,0,0.016,0.044,0.033,102980,0.949,0.331
"0500000US27173","Yellow Medicine","MN",9569,0.896,0.008,0.029,0.006,0,0.02,0.041,0.051,70605,0.926,0.194
"0500000US28001","Adams","MS",29425,0.389,0.534,0.002,0.009,0,0.042,0.024,0.07,37271,0.825,0.203
"0500000US28003","Alcorn","MS",34717,0.813,0.097,0.004,0.004,0.001,0.024,0.058,0.035,47716,0.819,0.176
"0500000US28005","Amite","MS",12683,0.579,0.402,0.001,0,0,0.002,0.015,0.001,34866,0.875,0.092
"0500000US28007","Attala","MS",17842,0.531,0.422,0.001,0.003,0,0.01,0.033,0.022,42680,0.841,0.162
"0500000US28009","Benton","MS",7637,0.608,0.333,0,0.004,0.001,0.021,0.034,0.031,38750,0.78,0.11
"0500000US28011","Bolivar","MS",30688,0.311,0.632,0,0.008,0,0.015,0.034,0.023,37845,0.822,0.272
"0500000US28013","Calhoun","MS",13193,0.64,0.284,0,0,0,0.06,0.016,0.065,44505,0.783,0.12
"0500000US28015","Carroll","MS",9930,0.633,0.358,0,0,0,0,0.008,0.001,42285,0.788,0.18
"0500000US28017","Chickasaw","MS",17024,0.503,0.442,0,0.002,0,0.034,0.02,0.051,40224,0.76,0.113
"0500000US28019","Choctaw","MS",8208,0.674,0.292,0.001,0.004,0,0.014,0.014,0.018,41887,0.869,0.173
"0500000US28021","Claiborne","MS",9044,0.111,0.858,0,0.001,0,0.001,0.028,0.002,34282,0.821,0.223
"0500000US28023","Clarke","MS",15553,0.634,0.343,0.001,0.001,0,0,0.021,0.016,46329,0.857,0.127
"0500000US28025","Clay","MS",18598,0.38,0.6,0,0,0,0,0.019,0.002,37412,0.817,0.18
"0500000US28027","Coahoma","MS",21264,0.198,0.759,0.003,0.002,0,0.002,0.036,0.018,36075,0.813,0.2
"0500000US28029","Copiah","MS",28210,0.44,0.51,0,0.002,0,0.025,0.022,0.037,46889,0.849,0.213
"0500000US28031","Covington","MS",18323,0.606,0.349,0.007,0.001,0.002,0.001,0.034,0.025,40164,0.829,0.157
"0500000US28033","DeSoto","MS",186214,0.613,0.309,0.002,0.013,0,0.025,0.038,0.052,79666,0.912,0.274
"0500000US28035","Forrest","MS",77917,0.581,0.361,0.001,0.009,0.003,0.004,0.04,0.032,49340,0.895,0.287
"0500000US28037","Franklin","MS",7690,0.625,0.357,0.001,0,0,0.003,0.013,0,43942,0.843,0.165
"0500000US28039","George","MS",24547,0.884,0.077,0.002,0.006,0,0.001,0.029,0.032,51349,0.86,0.16
"0500000US28041","Greene","MS",13672,0.715,0.254,0.007,0,0,0.004,0.019,0.013,50000,0.811,0.114
"0500000US28043","Grenada","MS",21474,0.516,0.449,0.001,0.001,0,0.007,0.026,0.004,45745,0.82,0.221
"0500000US28045","Hancock","MS",46010,0.853,0.069,0.008,0.005,0,0.01,0.055,0.039,63623,0.904,0.244
"0500000US28047","Harrison","MS",208748,0.647,0.248,0.003,0.023,0.001,0.015,0.063,0.056,55211,0.891,0.248
"0500000US28049","Hinds","MS",226541,0.24,0.729,0.002,0.007,0,0.005,0.017,0.016,48596,0.889,0.313
"0500000US28051","Holmes","MS",16848,0.151,0.83,0.001,0.002,0,0,0.016,0.005,28818,0.81,0.147
"0500000US28053","Humphreys","MS",7744,0.2,0.788,0.001,0.002,0.002,0.001,0.007,0.003,31907,0.748,0.186
"0500000US28055","Issaquena","MS",1206,0.275,0.704,0,0,0,0.01,0.011,0.01,17900,0.643,0.052
"0500000US28057","Itawamba","MS",23888,0.899,0.06,0.004,0.002,0,0.008,0.027,0.018,57252,0.852,0.153
"0500000US28059","Jackson","MS",143721,0.691,0.204,0.003,0.024,0,0.034,0.044,0.071,60045,0.887,0.236
"0500000US28061","Jasper","MS",16320,0.442,0.547,0,0,0,0,0.012,0.008,43914,0.886,0.149
"0500000US28063","Jefferson","MS",7207,0.131,0.79,0.002,0.005,0,0.002,0.069,0.085,31544,0.759,0.197
"0500000US28065","Jefferson Davis","MS",11291,0.377,0.61,0,0.001,0,0,0.012,0.002,36473,0.855,0.142
"0500000US28067","Jones","MS",67152,0.665,0.292,0.006,0.003,0,0.013,0.022,0.047,49451,0.861,0.207
"0500000US28069","Kemper","MS",8980,0.337,0.618,0.038,0,0,0.003,0.004,0.008,42947,0.8,0.165
"0500000US28071","Lafayette","MS",56172,0.707,0.234,0.001,0.023,0,0.01,0.026,0.026,59748,0.918,0.451
"0500000US28073","Lamar","MS",64425,0.743,0.209,0.002,0.012,0,0.006,0.027,0.031,67972,0.912,0.336
"0500000US28075","Lauderdale","MS",72741,0.526,0.435,0.001,0.007,0,0.009,0.022,0.022,45649,0.842,0.204
"0500000US28077","Lawrence","MS",11933,0.642,0.315,0.003,0.002,0,0.02,0.019,0.024,41096,0.829,0.139
"0500000US28079","Leake","MS",21335,0.483,0.398,0.058,0.004,0,0.038,0.019,0.051,46669,0.813,0.169
"0500000US28081","Lee","MS",83343,0.643,0.298,0.001,0.01,0.002,0.024,0.021,0.03,64479,0.873,0.283
"0500000US28083","Leflore","MS",27920,0.216,0.746,0.001,0.003,0,0.021,0.012,0.029,33115,0.832,0.192
"0500000US28085","Lincoln","MS",34855,0.679,0.303,0,0.006,0,0,0.012,0.013,47069,0.873,0.192
"0500000US28087","Lowndes","MS",58547,0.507,0.446,0.001,0.012,0,0.011,0.024,0.024,53687,0.88,0.261
"0500000US28089","Madison","MS",109257,0.565,0.376,0,0.027,0,0.011,0.02,0.031,79105,0.926,0.495
"0500000US28091","Marion","MS",24362,0.64,0.326,0.001,0.001,0,0.013,0.019,0.017,38399,0.828,0.113
"0500000US28093","Marshall","MS",33980,0.477,0.456,0.005,0.001,0,0.029,0.031,0.043,51431,0.828,0.14
"0500000US28095","Monroe","MS",34168,0.677,0.302,0,0.003,0,0,0.017,0.015,51190,0.849,0.161
"0500000US28097","Montgomery","MS",9803,0.522,0.46,0,0,0,0.005,0.013,0.006,36845,0.756,0.169
"0500000US28099","Neshoba","MS",28970,0.578,0.228,0.16,0.006,0.001,0.007,0.02,0.002,47400,0.823,0.153
"0500000US28101","Newton","MS",21275,0.594,0.314,0.033,0.005,0,0.033,0.022,0.021,49160,0.857,0.162
"0500000US28103","Noxubee","MS",10261,0.257,0.736,0.004,0,0,0.002,0.002,0.003,42298,0.811,0.134
"0500000US28105","Oktibbeha","MS",51388,0.565,0.367,0.001,0.031,0.001,0.004,0.031,0.018,42953,0.909,0.444
"0500000US28107","Panola","MS",33157,0.472,0.497,0.001,0.003,0.004,0.002,0.021,0.006,47894,0.819,0.16
"0500000US28109","Pearl River","MS",56351,0.817,0.125,0.007,0.004,0,0.012,0.035,0.034,54220,0.869,0.159
"0500000US28111","Perry","MS",11511,0.804,0.116,0,0.018,0,0.004,0.059,0.07,48333,0.859,0.108
"0500000US28113","Pike","MS",40098,0.427,0.542,0.004,0.005,0,0.006,0.016,0.016,40131,0.827,0.167
"0500000US28115","Pontotoc","MS",31202,0.757,0.148,0.002,0,0,0.058,0.036,0.075,54414,0.801,0.179
"0500000US28117","Prentiss","MS",24945,0.806,0.107,0.001,0.025,0,0.011,0.05,0.015,51578,0.835,0.185
"0500000US28119","Quitman","MS",6113,0.25,0.719,0.003,0.001,0,0,0.025,0.004,31192,0.752,0.144
"0500000US28121","Rankin","MS",157185,0.731,0.216,0.003,0.012,0,0.014,0.024,0.027,76460,0.9,0.327
"0500000US28123","Scott","MS",27943,0.54,0.358,0.001,0.001,0,0.054,0.045,0.118,44968,0.777,0.111
"0500000US28125","Sharkey","MS",3910,0.265,0.725,0,0,0.005,0.002,0.003,0.007,41000,0.797,0.16
"0500000US28127","Simpson","MS",25889,0.614,0.351,0.002,0.006,0.004,0.004,0.019,0.02,50867,0.801,0.165
"0500000US28129","Smith","MS",14310,0.74,0.243,0,0.004,0.004,0.001,0.009,0.005,51983,0.82,0.145
"0500000US28131","Stone","MS",18360,0.779,0.164,0.001,0.005,0.001,0.002,0.047,0.023,55894,0.856,0.143
"0500000US28133","Sunflower","MS",25867,0.236,0.736,0.001,0.001,0,0.003,0.024,0.019,37403,0.77,0.174
"0500000US28135","Tallahatchie","MS",12621,0.352,0.615,0,0.001,0,0.013,0.019,0.019,35428,0.781,0.117
"0500000US28137","Tate","MS",28094,0.669,0.305,0,0,0.001,0.004,0.02,0.034,61286,0.835,0.181
"0500000US28139","Tippah","MS",21769,0.771,0.145,0.001,0,0,0.036,0.047,0.047,47968,0.793,0.158
"0500000US28141","Tishomingo","MS",18837,0.919,0.013,0.004,0.006,0,0.008,0.049,0.035,45545,0.815,0.148
"0500000US28143","Tunica","MS",9787,0.183,0.806,0,0,0,0.007,0.004,0.013,41676,0.836,0.169
"0500000US28145","Union","MS",27880,0.775,0.157,0.002,0.002,0,0.042,0.022,0.046,55970,0.776,0.177
"0500000US28147","Walthall","MS",13888,0.528,0.409,0.004,0.002,0,0.018,0.039,0.024,37145,0.815,0.183
"0500000US28149","Warren","MS",44341,0.471,0.487,0.001,0.006,0,0.004,0.031,0.022,54117,0.877,0.268
"0500000US28151","Washington","MS",44604,0.246,0.721,0,0.008,0,0.014,0.011,0.018,38394,0.801,0.206
"0500000US28153","Wayne","MS",19760,0.571,0.379,0,0,0,0.016,0.034,0.037,34875,0.825,0.198
"0500000US28155","Webster","MS",9942,0.792,0.185,0.001,0.008,0,0.004,0.01,0.016,55657,0.848,0.179
"0500000US28157","Wilkinson","MS",8531,0.288,0.674,0,0,0,0.023,0.015,0.018,34928,0.853,0.115
"0500000US28159","Winston","MS",17741,0.5,0.47,0.008,0.001,0,0.002,0.019,0.015,45516,0.855,0.174
"0500000US28161","Yalobusha","MS",12499,0.601,0.384,0.002,0.001,0,0.002,0.01,0.026,47006,0.845,0.123
"0500000US28163","Yazoo","MS",27467,0.37,0.607,0.004,0,0,0.003,0.015,0.04,41867,0.77,0.119
"0500000US29001","Adair","MO",25299,0.901,0.041,0.004,0.019,0.001,0.005,0.029,0.028,51020,0.92,0.343
"0500000US29003","Andrew","MO",18069,0.936,0.008,0,0.007,0,0.005,0.044,0.027,68774,0.945,0.261
"0500000US29005","Atchison","MO",5270,0.949,0.003,0.003,0.002,0.001,0.007,0.034,0.016,58521,0.907,0.213
"0500000US29007","Audrain","MO",24873,0.892,0.048,0.006,0.005,0.001,0.004,0.044,0.034,51745,0.868,0.154
"0500000US29009","Barry","MO",34701,0.837,0.003,0.011,0.016,0,0.027,0.105,0.099,55592,0.855,0.149
"0500000US29011","Barton","MO",11683,0.919,0.003,0.011,0,0,0.004,0.062,0.031,48105,0.866,0.183
"0500000US29013","Bates","MO",16101,0.93,0.021,0.005,0.004,0.001,0.012,0.027,0.027,54122,0.885,0.139
"0500000US29015","Benton","MO",19616,0.937,0.007,0.008,0.001,0,0.004,0.043,0.023,50229,0.876,0.15
"0500000US29017","Bollinger","MO",10658,0.949,0.006,0.002,0.001,0,0.007,0.037,0.017,52306,0.843,0.117
"0500000US29019","Boone","MO",184043,0.789,0.093,0.002,0.047,0.001,0.012,0.056,0.036,66564,0.948,0.497
"0500000US29021","Buchanan","MO",84544,0.832,0.059,0.004,0.013,0.003,0.026,0.062,0.07,58303,0.896,0.233
"0500000US29023","Butler","MO",42280,0.877,0.051,0.004,0.002,0.001,0.014,0.051,0.024,47245,0.836,0.139
"0500000US29025","Caldwell","MO",8876,0.935,0.004,0.01,0.004,0.001,0.005,0.042,0.027,58269,0.898,0.168
"0500000US29027","Callaway","MO",44517,0.903,0.043,0.004,0.001,0.002,0.005,0.042,0.022,70599,0.902,0.249
"0500000US29029","Camden","MO",43227,0.947,0.009,0.003,0.005,0,0.01,0.028,0.031,59834,0.917,0.226
"0500000US29031","Cape Girardeau","MO",81703,0.86,0.076,0.001,0.016,0.001,0.006,0.04,0.026,65070,0.918,0.336
"0500000US29033","Carroll","MO",8513,0.948,0.021,0,0.001,0,0,0.029,0.019,59101,0.914,0.207
"0500000US29035","Carter","MO",5299,0.941,0.01,0,0.001,0,0.001,0.048,0.023,45737,0.834,0.148
"0500000US29037","Cass","MO",108205,0.869,0.044,0.003,0.006,0.001,0.017,0.06,0.049,82473,0.941,0.279
"0500000US29039","Cedar","MO",14314,0.935,0.003,0.002,0,0,0.016,0.044,0.026,43589,0.858,0.173
"0500000US29041","Chariton","MO",7417,0.941,0.027,0.002,0,0,0.01,0.02,0.01,61910,0.921,0.214
"0500000US29043","Christian","MO",89568,0.926,0.009,0.004,0.009,0.002,0.01,0.041,0.035,75787,0.928,0.319
"0500000US29045","Clark","MO",6693,0.958,0.002,0.006,0.009,0,0.004,0.021,0.01,53362,0.896,0.129
"0500000US29047","Clay","MO",253085,0.814,0.066,0.004,0.022,0.003,0.024,0.067,0.074,82264,0.938,0.349
"0500000US29049","Clinton","MO",21155,0.944,0.008,0.002,0.005,0.001,0.007,0.034,0.025,66494,0.938,0.223
"0500000US29051","Cole","MO",76890,0.82,0.114,0.002,0.016,0,0.008,0.041,0.031,70667,0.925,0.358
"0500000US29053","Cooper","MO",16893,0.885,0.056,0.002,0.004,0,0.005,0.048,0.022,62239,0.905,0.233
"0500000US29055","Crawford","MO",23023,0.943,0.005,0.001,0.003,0.002,0.005,0.04,0.023,52367,0.842,0.136
"0500000US29057","Dade","MO",7598,0.936,0.006,0.004,0.004,0,0.005,0.046,0.023,46806,0.894,0.144
"0500000US29059","Dallas","MO",17158,0.955,0.001,0.002,0.001,0,0.001,0.039,0.024,46547,0.889,0.133
"0500000US29061","Daviess","MO",8418,0.962,0.005,0.002,0.003,0.001,0.002,0.024,0.017,59706,0.871,0.201
"0500000US29063","DeKalb","MO",11838,0.863,0.082,0.005,0.011,0,0.002,0.035,0.029,67910,0.892,0.146
"0500000US29065","Dent","MO",14509,0.93,0.006,0.003,0.009,0.001,0.007,0.044,0.02,51410,0.856,0.173
"0500000US29067","Douglas","MO",11803,0.935,0.005,0.011,0.001,0,0.001,0.047,0.01,47848,0.848,0.157
"0500000US29069","Dunklin","MO",28174,0.802,0.079,0,0.002,0.001,0.009,0.107,0.072,44868,0.8,0.136
"0500000US29071","Franklin","MO",104858,0.915,0.009,0.001,0.004,0,0.006,0.065,0.019,70111,0.904,0.214
"0500000US29073","Gasconade","MO",14801,0.949,0.009,0.002,0.002,0.004,0,0.035,0.008,62638,0.889,0.193
"0500000US29075","Gentry","MO",6219,0.961,0.005,0.003,0.016,0,0.008,0.008,0.021,53799,0.876,0.211
"0500000US29077","Greene","MO",299188,0.878,0.03,0.002,0.019,0.001,0.015,0.054,0.041,54968,0.931,0.324
"0500000US29079","Grundy","MO",9878,0.945,0.004,0.003,0.01,0,0.009,0.03,0.027,51045,0.854,0.15
"0500000US29081","Harrison","MO",8190,0.96,0.01,0.004,0.004,0,0.002,0.02,0.027,51809,0.908,0.169
"0500000US29083","Henry","MO",22064,0.935,0.007,0.003,0.002,0,0.003,0.05,0.028,54903,0.891,0.159
"0500000US29085","Hickory","MO",8452,0.955,0.002,0,0.005,0,0.004,0.034,0.021,33302,0.894,0.101
"0500000US29087","Holt","MO",4274,0.955,0.007,0.003,0.005,0,0.002,0.029,0.014,55153,0.936,0.211
"0500000US29089","Howard","MO",10142,0.879,0.059,0.014,0.003,0.001,0.006,0.038,0.02,59023,0.885,0.264
"0500000US29091","Howell","MO",39960,0.939,0.005,0.004,0.005,0,0.008,0.04,0.024,46401,0.862,0.18
"0500000US29093","Iron","MO",9538,0.925,0.007,0.002,0.009,0.001,0.004,0.052,0.02,53401,0.863,0.188
"0500000US29095","Jackson","MO",715526,0.644,0.228,0.004,0.018,0.003,0.037,0.067,0.096,65169,0.917,0.33
"0500000US29097","Jasper","MO",122788,0.864,0.019,0.01,0.013,0.003,0.02,0.071,0.087,54963,0.883,0.247
"0500000US29099","Jefferson","MO",226984,0.915,0.01,0.001,0.01,0,0.006,0.058,0.022,77217,0.912,0.228
"0500000US29101","Johnson","MO",54025,0.868,0.036,0.002,0.018,0.003,0.01,0.063,0.05,62503,0.924,0.284
"0500000US29103","Knox","MO",3772,0.94,0.012,0.002,0.019,0.001,0.002,0.024,0.008,49167,0.852,0.16
"0500000US29105","Laclede","MO",36060,0.916,0.005,0.005,0.007,0.002,0.015,0.051,0.027,49202,0.873,0.169
"0500000US29107","Lafayette","MO",32858,0.92,0.021,0.002,0.007,0,0.011,0.039,0.034,78397,0.917,0.229
"0500000US29109","Lawrence","MO",38231,0.907,0.003,0.004,0.005,0.001,0.019,0.062,0.082,52225,0.858,0.153
"0500000US29111","Lewis","MO",9987,0.923,0.039,0.002,0.005,0.001,0.001,0.03,0.014,49779,0.864,0.15
"0500000US29113","Lincoln","MO",60172,0.932,0.022,0.001,0.003,0.001,0.005,0.036,0.027,82543,0.907,0.183
"0500000US29115","Linn","MO",11892,0.962,0.007,0.003,0.004,0,0.003,0.021,0.029,58435,0.904,0.196
"0500000US29117","Livingston","MO",14402,0.923,0.029,0.003,0.009,0.001,0.002,0.033,0.021,58772,0.875,0.195
"0500000US29119","McDonald","MO",23381,0.759,0.02,0.016,0.01,0.032,0.03,0.134,0.116,46494,0.793,0.118
"0500000US29121","Macon","MO",15173,0.928,0.022,0.004,0.006,0,0.005,0.034,0.017,54113,0.913,0.175
"0500000US29123","Madison","MO",12649,0.954,0.011,0.002,0.003,0,0.004,0.026,0.026,54042,0.882,0.161
"0500000US29125","Maries","MO",8454,0.95,0.003,0.011,0.002,0,0.003,0.031,0.018,56491,0.87,0.184
"0500000US29127","Marion","MO",28525,0.898,0.055,0.003,0.007,0,0.001,0.036,0.004,62492,0.897,0.247
"0500000US29129","Mercer","MO",3517,0.944,0.003,0.007,0.009,0,0.007,0.03,0.03,55592,0.91,0.205
"0500000US29131","Miller","MO",24855,0.957,0.01,0.001,0.004,0.001,0.005,0.021,0.021,53490,0.891,0.211
"0500000US29133","Mississippi","MO",12305,0.715,0.241,0,0.001,0,0,0.043,0.011,40833,0.793,0.137
"0500000US29135","Moniteau","MO",15401,0.928,0.027,0.003,0.003,0.001,0.015,0.024,0.055,66792,0.864,0.187
"0500000US29137","Monroe","MO",8668,0.93,0.035,0.007,0.005,0.001,0.003,0.019,0.019,50245,0.9,0.164
"0500000US29139","Montgomery","MO",11421,0.936,0.017,0.005,0.002,0,0.003,0.037,0.021,58660,0.877,0.16
"0500000US29141","Morgan","MO",21169,0.94,0.003,0,0.006,0,0.006,0.044,0.025,48841,0.797,0.139
"0500000US29143","New Madrid","MO",16341,0.773,0.122,0.001,0,0,0.002,0.103,0.021,44092,0.833,0.13
"0500000US29145","Newton","MO",59019,0.842,0.009,0.014,0.016,0.011,0.012,0.095,0.059,60313,0.893,0.222
"0500000US29147","Nodaway","MO",21140,0.937,0.022,0.003,0.012,0,0.009,0.018,0.017,53917,0.942,0.26
"0500000US29149","Oregon","MO",8783,0.944,0.001,0.004,0.002,0.001,0.002,0.046,0.019,41365,0.858,0.143
"0500000US29151","Osage","MO",13374,0.979,0.002,0.005,0,0,0.001,0.014,0.01,70313,0.928,0.231
"0500000US29153","Ozark","MO",8688,0.946,0.006,0.005,0,0,0.003,0.04,0.021,39125,0.809,0.104
"0500000US29155","Pemiscot","MO",15555,0.669,0.262,0.001,0,0,0.008,0.06,0.031,37426,0.822,0.116
"0500000US29157","Perry","MO",18970,0.952,0.007,0.001,0.007,0,0.003,0.029,0.024,61486,0.856,0.203
"0500000US29159","Pettis","MO",43059,0.876,0.028,0.003,0.006,0.001,0.036,0.05,0.092,57581,0.876,0.185
"0500000US29161","Phelps","MO",44843,0.877,0.021,0.005,0.034,0,0.008,0.055,0.029,53242,0.918,0.316
"0500000US29163","Pike","MO",17719,0.893,0.05,0.011,0.004,0.001,0.013,0.029,0.023,53363,0.864,0.154
"0500000US29165","Platte","MO",107033,0.814,0.074,0.002,0.027,0.006,0.02,0.057,0.066,92543,0.964,0.443
"0500000US29167","Polk","MO",31877,0.929,0.012,0.003,0.008,0,0.007,0.042,0.028,54487,0.879,0.203
"0500000US29169","Pulaski","MO",53726,0.738,0.101,0.007,0.025,0.005,0.017,0.106,0.116,62541,0.945,0.269
"0500000US29171","Putnam","MO",4698,0.966,0.002,0.004,0,0,0,0.027,0.026,50950,0.934,0.184
"0500000US29173","Ralls","MO",10356,0.94,0.018,0,0.001,0,0.01,0.031,0.014,62615,0.915,0.158
"0500000US29175","Randolph","MO",24652,0.889,0.05,0.002,0.004,0,0.007,0.047,0.022,51480,0.896,0.171
"0500000US29177","Ray","MO",23122,0.938,0.012,0.011,0.003,0,0.005,0.031,0.027,69779,0.897,0.151
"0500000US29179","Reynolds","MO",6102,0.927,0.017,0.003,0.002,0,0.005,0.046,0.017,43856,0.787,0.142
"0500000US29181","Ripley","MO",10839,0.935,0.001,0.001,0.009,0,0.009,0.045,0.022,42541,0.822,0.119
"0500000US29183","St. Charles","MO",406262,0.865,0.05,0.001,0.027,0,0.01,0.046,0.036,99596,0.954,0.42
"0500000US29185","St. Clair","MO",9330,0.933,0.005,0.004,0.002,0,0.01,0.045,0.024,43483,0.894,0.124
"0500000US29186","Ste. Genevieve","MO",18494,0.945,0.015,0.001,0.005,0,0.003,0.03,0.013,61215,0.915,0.164
"0500000US29187","St. Francois","MO",66814,0.914,0.03,0.004,0.005,0,0.008,0.039,0.02,53083,0.869,0.155
"0500000US29189","St. Louis","MO",999703,0.642,0.242,0.001,0.047,0,0.013,0.055,0.031,78067,0.942,0.461
"0500000US29195","Saline","MO",23219,0.812,0.056,0.001,0.008,0.009,0.049,0.065,0.111,55396,0.879,0.25
"0500000US29197","Schuyler","MO",4066,0.954,0.004,0.004,0.009,0,0.001,0.028,0.013,53728,0.924,0.124
"0500000US29199","Scotland","MO",4720,0.969,0.001,0.001,0,0.004,0,0.025,0,58656,0.832,0.146
"0500000US29201","Scott","MO",38055,0.834,0.114,0.001,0.002,0,0.001,0.049,0.026,54621,0.864,0.212
"0500000US29203","Shannon","MO",7132,0.93,0.003,0.001,0.003,0,0,0.062,0.004,46767,0.859,0.149
"0500000US29205","Shelby","MO",6049,0.947,0.021,0.005,0.002,0,0.009,0.014,0.023,50387,0.885,0.176
"0500000US29207","Stoddard","MO",28656,0.947,0.013,0.002,0,0.001,0.004,0.033,0.019,51703,0.815,0.149
"0500000US29209","Stone","MO",31314,0.951,0.002,0.002,0.005,0,0.011,0.029,0.025,58392,0.903,0.206
"0500000US29211","Sullivan","MO",5983,0.837,0.032,0.002,0.008,0,0.068,0.053,0.187,53438,0.858,0.144
"0500000US29213","Taney","MO",56202,0.891,0.02,0.003,0.009,0,0.021,0.056,0.063,54467,0.898,0.238
"0500000US29215","Texas","MO",24828,0.907,0.025,0.007,0.005,0,0.01,0.047,0.024,42870,0.849,0.152
"0500000US29217","Vernon","MO",19777,0.952,0.005,0.001,0.007,0,0.002,0.032,0.025,53318,0.884,0.178
"0500000US29219","Warren","MO",35729,0.911,0.021,0.005,0.005,0,0.01,0.047,0.037,75531,0.883,0.192
"0500000US29221","Washington","MO",23580,0.931,0.017,0,0.001,0.001,0.004,0.046,0.017,49364,0.817,0.123
"0500000US29223","Wayne","MO",11081,0.945,0.01,0,0.007,0,0.004,0.034,0.02,42758,0.822,0.111
"0500000US29225","Webster","MO",39265,0.93,0.006,0.003,0.002,0.003,0.017,0.039,0.023,65103,0.879,0.184
"0500000US29227","Worth","MO",1982,0.966,0.003,0.002,0,0,0.001,0.029,0.019,43536,0.94,0.156
"0500000US29229","Wright","MO",18475,0.946,0.002,0.002,0.004,0.001,0.001,0.045,0.024,43573,0.824,0.128
"0500000US29510","St. Louis city","MO",298018,0.463,0.439,0.002,0.035,0.001,0.014,0.047,0.043,52941,0.9,0.386
"0500000US30001","Beaverhead","MT",9469,0.925,0.01,0.021,0.002,0,0.004,0.038,0.055,55867,0.943,0.364
"0500000US30003","Big Horn","MT",13090,0.293,0,0.651,0.002,0,0,0.054,0.063,52463,0.893,0.198
"0500000US30005","Blaine","MT",7030,0.435,0.008,0.517,0,0,0.003,0.036,0.036,58507,0.891,0.238
"0500000US30007","Broadwater","MT",6977,0.901,0.003,0.011,0.004,0,0.003,0.079,0.022,61679,0.933,0.223
"0500000US30009","Carbon","MT",10645,0.939,0.005,0.006,0.005,0.001,0.013,0.031,0.029,66780,0.958,0.314
"0500000US30011","Carter","MT",1332,0.935,0,0.011,0,0,0.008,0.046,0.011,46486,0.943,0.213
"0500000US30013","Cascade","MT",84423,0.854,0.015,0.037,0.009,0,0.018,0.066,0.05,61351,0.934,0.276
"0500000US30015","Chouteau","MT",5897,0.789,0.001,0.164,0.004,0,0,0.042,0.03,51791,0.923,0.245
"0500000US30017","Custer","MT",11957,0.914,0.002,0.012,0.004,0.001,0.01,0.055,0.036,61114,0.944,0.266
"0500000US30019","Daniels","MT",1535,0.905,0.003,0.024,0.018,0,0.003,0.047,0.014,47378,0.962,0.26
"0500000US30021","Dawson","MT",8915,0.942,0.008,0.016,0,0,0.002,0.032,0.027,68168,0.952,0.246
"0500000US30023","Deer Lodge","MT",9435,0.91,0.005,0.018,0.005,0.001,0.004,0.057,0.037,46436,0.905,0.202
"0500000US30025","Fallon","MT",2941,0.934,0,0.023,0,0,0.003,0.039,0.008,79750,0.965,0.181
"0500000US30027","Fergus","MT",11496,0.933,0.005,0.013,0.015,0,0.013,0.02,0.021,58321,0.946,0.276
"0500000US30029","Flathead","MT",105950,0.92,0.003,0.011,0.008,0,0.01,0.049,0.033,68025,0.956,0.349
"0500000US30031","Gallatin","MT",119685,0.912,0.004,0.008,0.014,0,0.014,0.048,0.043,83434,0.976,0.529
"0500000US30033","Garfield","MT",976,0.975,0.011,0.003,0,0,0,0.01,0,61786,0.971,0.214
"0500000US30035","Glacier","MT",13781,0.307,0.002,0.642,0.006,0.002,0.013,0.029,0.036,41078,0.867,0.205
"0500000US30037","Golden Valley","MT",841,0.901,0.011,0.005,0,0,0.004,0.08,0.086,54792,0.913,0.234
"0500000US30039","Granite","MT",3368,0.937,0,0.007,0.009,0,0,0.047,0.031,53917,0.904,0.315
"0500000US30041","Hill","MT",16238,0.695,0.004,0.237,0.003,0,0.006,0.055,0.04,58427,0.904,0.237
