"Geography","county","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"0500000US13297","Walton","GA",97752,0.74,0.194,0.002,0.015,0,0.021,0.028,0.054,79425,0.871,0.243
"0500000US13299","Ware","GA",35917,0.629,0.302,0.004,0.012,0.001,0.01,0.041,0.045,44138,0.816,0.151
"0500000US13301","Warren","GA",5197,0.384,0.597,0,0.005,0,0,0.014,0,45091,0.721,0.111
"0500000US13303","Washington","GA",19975,0.431,0.508,0.005,0.007,0,0.009,0.04,0.028,43810,0.842,0.174
"0500000US13305","Wayne","GA",30277,0.725,0.202,0.003,0.01,0,0.033,0.027,0.065,49847,0.855,0.141
"0500000US13307","Webster","GA",2354,0.415,0.445,0,0,0,0.083,0.056,0.147,35000,0.812,0.093
"0500000US13309","Wheeler","GA",7550,0.584,0.386,0.001,0,0,0.022,0.006,0.057,36354,0.765,0.128
"0500000US13311","White","GA",28165,0.913,0.021,0.001,0.006,0,0.019,0.039,0.034,66256,0.856,0.231
"0500000US13313","Whitfield","GA",103033,0.768,0.033,0.019,0.015,0,0.09,0.074,0.368,59659,0.743,0.186
"0500000US13315","Wilcox","GA",8839,0.628,0.337,0,0,0,0.011,0.024,0.047,46759,0.804,0.136
"0500000US13317","Wilkes","GA",9610,0.533,0.403,0.002,0,0,0.029,0.034,0.057,51780,0.826,0.156
"0500000US13319","Wilkinson","GA",8852,0.576,0.383,0,0,0,0.02,0.021,0.031,40757,0.894,0.121
"0500000US13321","Worth","GA",20706,0.68,0.256,0.003,0.009,0,0.001,0.051,0.025,56496,0.855,0.095
"0500000US15001","Hawaii","HI",202163,0.314,0.008,0.005,0.217,0.121,0.022,0.314,0.136,74238,0.929,0.307
"0500000US15003","Honolulu","HI",1010100,0.193,0.025,0.002,0.423,0.101,0.015,0.241,0.102,99816,0.927,0.366
"0500000US15005","Kalawao","HI",50,0.38,0.02,0.18,0.12,0.12,0,0.18,0.12,87813,0.92,0.34
"0500000US15007","Kauai","HI",73511,0.303,0.005,0.002,0.294,0.098,0.013,0.284,0.116,88869,0.925,0.304
"0500000US15009","Maui","HI",164765,0.318,0.008,0.004,0.284,0.107,0.021,0.26,0.119,95379,0.925,0.301
"0500000US16001","Ada","ID",497494,0.862,0.013,0.006,0.026,0.002,0.023,0.068,0.089,83881,0.953,0.428
"0500000US16003","Adams","ID",4464,0.927,0.003,0.007,0,0,0.005,0.058,0.043,55891,0.94,0.213
"0500000US16005","Bannock","ID",87434,0.858,0.01,0.026,0.019,0.002,0.027,0.057,0.094,60998,0.934,0.295
"0500000US16007","Bear Lake","ID",6436,0.952,0.001,0.014,0.008,0,0.006,0.018,0.043,63244,0.931,0.208
"0500000US16009","Benewah","ID",9731,0.848,0.008,0.09,0,0.003,0.003,0.047,0.044,54191,0.851,0.186
