office_type,state,district,Democratic_name,Republican_name,Independent_name,dem_votes,rep_votes,ind_votes,green_votes,pct_reporting,total_votes,margin_votes,margin_pct,pct_absentee,absentee_margin,democratic_votes_1,democratic_votes_2,republican_votes_1,republican_votes_2,margin_pct_1,margin_votes_1,margin_pct_2,margin_votes_2,democratic_percent_1,republican_percent_1,democratic_percent_2,republican_percent_2,total_votes_estimate,total_votes_lower,total_votes_upper,expected_pct_in,dem_votes_pct,rep_votes_pct,ind_votes_pct,green_votes_pct,swing,votes_remaining,when_to_call,race_to_watch,poll_close
House,AZ,6,Kirsten Engel,Juan Ciscomani,NA,0,0,0,0,0,0,0,NA,NA,NA,171969,NA,177201,NA,-1.4979257507522554,-5232,NA,NA,49.234861129800194,50.732786880552446,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Almost all results,TRUE,21:00:00
House,AZ,7,Raul Grijalva,Daniel Butierez,NA,0,0,0,0,0,0,0,NA,NA,NA,126418,NA,69444,NA,29.088848270721225,56974,NA,NA,64.54442413536061,35.455575864639385,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,21:00:00
House,AZ,8,Gregory Whitten,Abraham Hamadeh,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,197555,NA,NA,NA,NA,NA,NA,96.50339743934192,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Early results,TRUE,21:00:00
House,AZ,9,Quacy Smith,Paul Gosar,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,192796,NA,NA,NA,NA,NA,NA,97.7741714633466,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Exit Poll,FALSE,21:00:00
House,CA,1,Rose Yee,Doug La Malfa,NA,0,0,0,0,0,0,0,NA,NA,NA,93386,NA,152839,NA,-24.145801604223777,-59453,NA,NA,37.92709919788811,62.07290080211189,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,10,Mark DeSaulnier,Katherine Piccinini,NA,0,0,0,0,0,0,0,NA,NA,NA,198415,NA,NA,NA,NA,NA,NA,NA,78.93030471795687,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,11,Nancy Pelosi,Bruce Lou,NA,0,0,0,0,0,0,0,NA,NA,NA,220848,NA,42217,NA,67.90375002375839,178631,NA,NA,83.9518750118792,16.048124988120808,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,12,Jennifer Tran,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,217110,NA,22859,NA,80.94837249811434,194251,NA,NA,90.47418624905715,9.525813750942833,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,13,Adam Gray,John Duarte,NA,0,0,0,0,0,0,0,NA,NA,NA,66496,NA,67060,NA,-0.4222947677378777,-564,NA,NA,49.78885261613106,50.21114738386894,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Almost all results,TRUE,23:00:00
House,CA,14,Eric Swalwell,Vin Kruttiventi,NA,0,0,0,0,0,0,0,NA,NA,NA,137612,NA,60852,NA,38.67703966462432,76760,NA,NA,69.33851983231216,30.66148016768784,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,15,Kevin Mullin,Anna Kramer,NA,0,0,0,0,0,0,0,NA,NA,NA,108077,NA,NA,NA,NA,NA,NA,NA,55.4599382164886,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,16,Evan Low,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,139235,NA,NA,NA,NA,NA,NA,NA,57.772180891011466,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,17,Ro Khanna,Anita Chen,NA,0,0,0,0,0,0,0,NA,NA,NA,127853,NA,52400,NA,41.85949748409181,75453,NA,NA,70.9297487420459,29.070251257954094,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,18,Zoe Lofgren,Peter Hernandez,NA,0,0,0,0,0,0,0,NA,NA,NA,99776,NA,51737,NA,31.706190227901235,48039,NA,NA,65.85309511395062,34.146904886049384,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,19,Jimmy Panetta,Jason Anderson,NA,0,0,0,0,0,0,0,NA,NA,NA,194494,NA,88816,NA,37.30118950972433,105678,NA,NA,68.65059475486217,31.34940524513783,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,2,Jared Huffman,Chris Coulombe,NA,0,0,0,0,0,0,0,NA,NA,NA,229720,NA,79029,NA,48.80695969865489,150691,NA,NA,74.40347984932745,25.596520150672553,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,20,NA,Mike Boudreaux,NA,0,0,0,0,0,0,0,NA,NA,NA,74934,NA,153847,NA,-34.492811903086356,-78913,NA,NA,32.75359404845682,67.24640595154318,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,21,Jim Costa,Michael Maher,NA,0,0,0,0,0,0,0,NA,NA,NA,68074,NA,57573,NA,8.357541365890153,10501,NA,NA,54.17877068294508,45.82122931705492,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Early results,TRUE,23:00:00
House,CA,22,Rudy Salas,David Valadao,NA,0,0,0,0,0,0,0,NA,NA,NA,49862,NA,52994,NA,-3.0450338337092635,-3132,NA,NA,48.477483083145366,51.522516916854634,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Almost all results,TRUE,23:00:00
House,CA,23,Derek Marshall,Jay Obernolte,NA,0,0,0,0,0,0,0,NA,NA,NA,65908,NA,103197,NA,-22.050796842198633,-37289,NA,NA,38.97460157890068,61.02539842109932,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Early results,TRUE,23:00:00
House,CA,24,Salud Carbajal,Thomas Cole,NA,0,0,0,0,0,0,0,NA,NA,NA,159019,NA,103533,NA,21.133337396020597,55486,NA,NA,60.5666686980103,39.4333313019897,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,25,Raul Ruiz,Ian Weeks,NA,0,0,0,0,0,0,0,NA,NA,NA,87641,NA,65101,NA,14.756910345550011,22540,NA,NA,57.378455172775006,42.621544827224994,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,26,Julia Brownley,Michael Koslow,NA,0,0,0,0,0,0,0,NA,NA,NA,134575,NA,112214,NA,9.060776614841018,22361,NA,NA,54.53038830742051,45.46961169257949,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Exit Poll,FALSE,23:00:00
House,CA,27,George Whitesides,Mike Garcia,NA,0,0,0,0,0,0,0,NA,NA,NA,91892,NA,104624,NA,-6.4788617720694495,-12732,NA,NA,46.760569113965275,53.239430886034725,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Almost all results,TRUE,23:00:00
House,CA,28,Judy Chu,April Verlato,NA,0,0,0,0,0,0,0,NA,NA,NA,150062,NA,76495,NA,32.471740003619395,73567,NA,NA,66.2358700018097,33.7641299981903,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,29,Luz Rivas,Benito Bernal,NA,0,0,0,0,0,0,0,NA,NA,NA,69915,NA,NA,NA,NA,NA,NA,NA,58.53811696738812,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Exit Poll,FALSE,23:00:00
House,CA,3,Jessica Morse,Kevin Kiley,NA,0,0,0,0,0,0,0,NA,NA,NA,156761,NA,181438,NA,-7.296591651660709,-24677,NA,NA,46.35170417416965,53.64829582583035,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Almost all results,TRUE,23:00:00
House,CA,30,Laura Friedman,Alex Balekian,NA,0,0,0,0,0,0,0,NA,NA,NA,150100,NA,NA,NA,NA,NA,NA,NA,71.11452233403453,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,31,Gil Cisneros,Daniel Martinez,NA,0,0,0,0,0,0,0,NA,NA,NA,91472,NA,62153,NA,19.08478437754272,29319,NA,NA,59.54239218877136,40.45760781122864,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Exit Poll,FALSE,23:00:00
House,CA,32,Brad Sherman,Larry Thompson,NA,0,0,0,0,0,0,0,NA,NA,NA,167411,NA,74618,NA,38.33962045870536,92793,NA,NA,69.16981022935268,30.83018977064732,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,33,Pete Aguilar,Tom Herman,NA,0,0,0,0,0,0,0,NA,NA,NA,76588,NA,56119,NA,15.424205203945537,20469,NA,NA,57.71210260197277,42.28789739802723,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,34,David Kim,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,62244,NA,NA,NA,NA,NA,NA,NA,51.243547630220554,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,35,Norma Torres,Mike Cargile,NA,0,0,0,0,0,0,0,NA,NA,NA,75121,NA,55832,NA,14.729712186815116,19289,NA,NA,57.36485609340756,42.63514390659244,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Exit Poll,FALSE,23:00:00
House,CA,36,Ted Lieu,Melissa Toomim,NA,0,0,0,0,0,0,0,NA,NA,NA,194299,NA,84264,NA,39.500938746351814,110035,NA,NA,69.7504693731759,30.249530626824093,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,37,Sydney Kamlager-Dove,NA,Juan Rey,0,0,0,0,0,0,0,NA,NA,NA,84338,NA,NA,NA,NA,NA,NA,NA,63.95056111616621,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,38,Linda Sanchez,Eric Ching,NA,0,0,0,0,0,0,0,NA,NA,NA,101260,NA,73051,NA,16.183143920922948,28209,NA,NA,58.09157196046147,41.90842803953853,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Exit Poll,FALSE,23:00:00
House,CA,39,Mark Takano,David Serpa,NA,0,0,0,0,0,0,0,NA,NA,NA,75896,NA,55701,NA,15.346094515832428,20195,NA,NA,57.67304725791622,42.32695274208378,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,4,Mike Thompson,John Munn,NA,0,0,0,0,0,0,0,NA,NA,NA,176900,NA,84007,NA,35.603874177388875,92893,NA,NA,67.80193708869444,32.19806291130556,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,40,Joe Kerr,Young Kim,NA,0,0,0,0,0,0,0,NA,NA,NA,122722,NA,161589,NA,-13.670593118099546,-38867,NA,NA,43.16470344095023,56.83529655904977,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Lots of results,TRUE,23:00:00
House,CA,41,Will Rollins,Ken Calvert,NA,0,0,0,0,0,0,0,NA,NA,NA,112769,NA,123869,NA,-4.690709015458211,-11100,NA,NA,47.654645492270895,52.345354507729105,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Almost all results,TRUE,23:00:00
House,CA,42,Robert Garcia,John Briscoe,NA,0,0,0,0,0,0,0,NA,NA,NA,99217,NA,45903,NA,36.73787210584344,53314,NA,NA,68.36893605292173,31.63106394707828,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,43,Maxine Waters,Steve Williams,NA,0,0,0,0,0,0,0,NA,NA,NA,95462,NA,27985,NA,54.66070459387429,67477,NA,NA,77.33035229693715,22.669647703062857,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,44,Nanette Barragan,Roger Groh,NA,0,0,0,0,0,0,0,NA,NA,NA,100160,NA,38554,NA,44.41224389751575,61606,NA,NA,72.20612194875788,27.793878051242125,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,45,Derek Tran,Michelle Steel,NA,0,0,0,0,0,0,0,NA,NA,NA,103466,NA,113960,NA,-4.826469695436608,-10494,NA,NA,47.58676515228169,52.41323484771831,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Almost all results,TRUE,23:00:00
House,CA,46,Lou Correa,David Pan,NA,0,0,0,0,0,0,0,NA,NA,NA,78041,NA,48257,NA,23.58232117689908,29784,NA,NA,61.79116058844954,38.20883941155046,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,47,Dave Min,Scott Baugh,NA,0,0,0,0,0,0,0,NA,NA,NA,137374,NA,128261,NA,3.4306473168068967,9113,NA,NA,51.71532365840345,48.28467634159655,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Almost all results,TRUE,23:00:00
House,CA,48,Stephen Houlahan,Darrell Issa,NA,0,0,0,0,0,0,0,NA,NA,NA,101900,NA,155171,NA,-20.722290729020383,-53271,NA,NA,39.63885463548981,60.36114536451019,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Exit Poll,FALSE,23:00:00
House,CA,49,Mike Levin,Matt Gunderson,NA,0,0,0,0,0,0,0,NA,NA,NA,153541,NA,138194,NA,5.260596088916311,15347,NA,NA,52.63029804445816,47.36970195554184,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Almost all results,TRUE,23:00:00
House,CA,5,Mike Barkley,Tom McClintock,NA,0,0,0,0,0,0,0,NA,NA,NA,109506,NA,173524,NA,-22.618803660389357,-64018,NA,NA,38.69059816980532,61.30940183019468,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Exit Poll,FALSE,23:00:00
House,CA,50,Scott Peters,Peter Bono,NA,0,0,0,0,0,0,0,NA,NA,NA,168816,NA,99819,NA,25.684292813669103,68997,NA,NA,62.84214640683455,37.15785359316545,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,51,Sara Jacobs,Bill Wells,NA,0,0,0,0,0,0,0,NA,NA,NA,144186,NA,88886,NA,23.726573762614127,55300,NA,NA,61.86328688130706,38.13671311869294,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,52,Juan Vargas,Justin Lee,NA,0,0,0,0,0,0,0,NA,NA,NA,100686,NA,50330,NA,33.344811145838854,50356,NA,NA,66.67240557291943,33.32759442708058,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,6,Ami Bera,Christine Bish,NA,0,0,0,0,0,0,0,NA,NA,NA,121058,NA,95325,NA,11.892339046967646,25733,NA,NA,55.946169523483825,44.053830476516175,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Exit Poll,FALSE,23:00:00
House,CA,7,Doris Matsui,Tom Silva,NA,0,0,0,0,0,0,0,NA,NA,NA,150618,NA,70033,NA,36.52147508962117,80585,NA,NA,68.26073754481058,31.739262455189415,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,8,John Garamendi,Rudy Recile,NA,0,0,0,0,0,0,0,NA,NA,NA,145501,NA,46634,NA,51.45704842948968,98867,NA,NA,75.72852421474484,24.27147578525516,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,23:00:00
House,CA,9,Josh Harder,Kevin Lincoln,NA,0,0,0,0,0,0,0,NA,NA,NA,95598,NA,78802,NA,9.630733944954128,16796,NA,NA,54.815366972477065,45.184633027522935,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Lots of results,TRUE,23:00:00
House,CO,1,Diana DeGette,Valdamar Archuleta,NA,0,0,0,0,0,0,0,NA,NA,NA,226929,NA,49530,NA,62.77033147450958,177399,NA,NA,80.29587850652476,17.525547032015172,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,21:00:00
House,CO,2,Joe Neguse,Marshall Dawson,NA,0,0,0,0,0,0,0,NA,NA,NA,244107,NA,97700,NA,41.9697912217384,146407,NA,NA,69.97698078483197,28.007189563093576,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,21:00:00
House,CO,3,Adam Frisch,Jeff Hurd,NA,0,0,0,0,0,0,0,NA,NA,NA,163293,NA,163839,NA,-0.16682707731793392,-546,NA,NA,49.893212337870665,50.0600394151886,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Almost all results,TRUE,21:00:00
