state,office_type,district,margin_pct_1,margin_votes_1
CA,House,32,38.33962045870536,92793
SC,House,5,-29.550654304591923,-71426
GA,House,2,9.948620203861772,24010
TX,House,22,-26.682005679580456,-64361
CA,House,16,NA,NA
IN,House,5,-22.14125303634447,-53141
CA,House,12,80.94837249811434,194251
WA,House,9,43.408742203395484,104115
ND,House,0,NA,NA
KS,House,1,-35.332284785571986,-84241
TX,House,12,-28.54327482677043,-67927
FL,House,27,-14.58629896985369,-34634
IL,House,1,34.067179109192374,80884
KY,House,2,-43.71564891931079,-103718
CA,House,41,-4.690709015458211,-11100
IL,House,14,8.322062552831783,19690
CO,House,8,0.690060507143733,1632
NJ,House,2,-18.899798717883662,-44695
CT,House,4,19.879788549838192,46933
LA,House,6,NA,NA
GA,House,7,21.741498219444434,51101
TX,House,1,-56.15992363484501,-131786
MI,House,13,47.11700875262323,110463
FL,House,25,10.187239707789992,23874
OK,House,1,-26.478511317158826,-61826
KS,House,2,-15.278670540542857,-35654
IL,House,17,3.970007249391952,9255
CA,House,51,23.726573762614127,55300
NC,House,9,-13.002514452730438,-30251
OK,House,2,-49.055992955557855,-113649
PA,House,14,NA,NA
NM,House,3,16.314963905330572,37652
MO,House,5,24.584155624471386,56680
TX,House,2,-31.827675900072517,-73295
CA,House,20,-34.492811903086356,-78913
KS,House,4,-26.684445221649035,-61038
WV,House,1,-37.88931143153929,-86083
WA,House,4,-35.257029654043514,-79909
CA,House,28,32.471740003619395,73567
IN,House,9,-29.94815248850299,-67466
TX,House,8,-37.521780875502294,-84412
LA,House,3,-53.78798674694503,-120782
OK,House,4,-33.49514130734905,-75212
NV,House,1,5.609563670887769,12585
FL,House,18,NA,NA
NC,House,12,25.492613037497545,57080
NJ,House,1,27.141287452430724,60765
AR,House,3,-30.797717229905004,-68860
LA,House,5,-51.858395995580466,-115931
NE,House,1,-15.821029283265744,-35307
NV,House,4,4.830394584852149,10747
NY,House,16,23.857723705645835,52868
TN,House,5,-13.517116709976273,-29910
MO,House,1,48.530489957367465,107232
CA,House,7,36.52147508962117,80585
NE,House,3,-62.50861474844935,-137864
NE,House,2,-2.6682462295530143,-5856
CA,House,45,-4.826469695436608,-10494
TX,House,17,-32.96686601383921,-71607
HI,House,2,25.59301334193608,55533
