office_type,state,county,margin_pct_1,margin_votes_1,margin_pct_2,margin_votes_2
President,AL,Shelby,-40.39321444106133,-46432,-50.31751471655512,-49919
President,AL,Sumter,48.48195835320299,3050,49.413237365044594,3158
President,AL,Talladega,-25.508229818018673,-9097,-25.552411343247638,-8488
President,AL,Tallapoosa,-43.37096851031394,-9104,-41.591007349762215,-7696
President,AL,Tuscaloosa,-14.807257241715831,-13352,-19.526851715866254,-15955
President,AL,Walker,-67.91145332050048,-21168,-67.44178093902815,-19722
President,AL,Washington,-48.512843623253715,-4306,-43.15826660386246,-3665
President,AL,Wilcox,37.52329324072505,2215,42.526661197703035,2592
President,AL,Winston,-81.71747607231478,-9221,-81.4627011214042,-8354
President,AZ,Apache,33.68388142000398,11851,36.877646176108044,6881
President,AZ,Cochise,-19.554181204835217,-11825,-22.58557953044244,-9745
President,AZ,Coconino,24.0585717012516,17646,19.441785928910058,8735
President,AZ,Gila,-34.08483271912711,-9434,-32.3675109823348,-6926
President,AZ,Graham,-44.77860762870099,-6715,-39.5678029985761,-4724
President,AZ,Greenlee,-33.920824295010846,-1251,-24.668516805427075,-800
President,AZ,La Paz,-38.78016085790885,-2893,-41.83735550598256,-2063
President,AZ,Maricopa,2.1797315744331294,45109,-3.446528677947375,-41425
President,AZ,Mohave,-51.29076930423571,-53704,-51.45102373667255,-38171
President,AZ,Navajo,-8.253673985670973,-4274,-7.916066536756192,-2803
President,AZ,Pima,18.67034096037332,97223,13.479801087697707,48630
President,AZ,Pinal,-17.278165988423936,-31971,-19.31666755503438,-18120
President,AZ,Santa Cruz,35.49920760697306,6944,47.12582071552995,7034
President,AZ,Yavapai,-29.260887772194305,-41925,-31.4259538693684,-29157
President,AZ,Yuma,-6.183679890169608,-4324,-5.520253195613239,-2250
President,AR,Arkansas,-39.51048951048951,-2486,-30.582130695638075,-1886
President,AR,Ashley,-43.18697956093868,-3423,-36.501806403388564,-2930
President,AR,Baxter,-53.32032179749607,-11201,-53.60719395054159,-10492
President,AR,Benton,-26.449396223897526,-31716,-34.85710042222741,-32857
President,AR,Boone,-61.86747691948113,-10588,-58.44645550527903,-9300
President,AR,Bradley,-30.678708264915162,-1121,-23.389549350290295,-846
President,AR,Calhoun,-53.02474793767186,-1157,-40.8,-918
President,AR,Carroll,-28.829363397473934,-3401,-32.2728978978979,-3439
President,AR,Chicot,12.381184499146965,508,15.280790551940227,634
President,AR,Clark,-14.032162001191185,-1178,-9.468021518230723,-792
President,AR,Clay,-60.273972602739725,-3124,-29.77584476413516,-1780
President,AR,Cleburne,-65.77287066246056,-8340,-61.43883689839572,-7353
President,AR,Cleveland,-61.55555555555556,-2216,-52.65231888451046,-1737
President,AR,Columbia,-31.17455896007428,-2686,-26.207989136584814,-2316
President,AR,Conway,-35.451928612550375,-3079,-27.931606482072223,-2189
President,AR,Craighead,-35.41066188881099,-13637,-35.243651338366504,-12324
President,AR,Crawford,-56.65186169108796,-13648,-54.97178966373279,-12179
President,AR,Crittenden,7.2157389869860085,1181,8.956829978478288,1415
President,AR,Cross,-45.721694036300775,-3174,-37.798272580881275,-2582
President,AR,Dallas,-23.027557568893922,-610,-12.47719810288216,-342
President,AR,Desha,2.281460134486071,95,7.382867960246096,312
President,AR,Drew,-27.837290098436597,-1923,-24.465811965811966,-1603
President,AR,Faulkner,-29.532593518042184,-16074,-31.587007160728152,-14645
President,AR,Franklin,-61.39711039416468,-4377,-54.613317408181544,-3658
President,AR,Fulton,-57.159601484664975,-2926,-50.65345699831366,-2403
President,AR,Garland,-33.99171926966673,-15024,-34.13739246845328,-13770
President,AR,Grant,-67.39024390243902,-5526,-54.74835886214442,-3753
President,AR,Greene,-59.701863354037265,-9612,-52.98848980723894,-7642
President,AR,Hempstead,-34.05373831775701,-2332,-28.923253150057274,-2020
President,AR,Hot Spring,-48.737755833399696,-6120,-42.45450698264918,-5016
President,AR,Howard,-41.932147290028965,-2027,-38.951230038843335,-1805
President,AR,Independence,-58.18632855567806,-8444,-52.421334523543855,-7047
President,AR,Izard,-62.1342512908778,-3610,-54.318013343217196,-2931
President,AR,Jackson,-43.763504223138874,-2228,-32.96681720007854,-1679
President,AR,Jefferson,21.702838063439064,5460,25.26963360978079,6490
President,AR,Johnson,-49.010317961676144,-4655,-40.58019339779926,-3651
President,AR,Lafayette,-34.266517357222845,-918,-25.4673721340388,-722
President,AR,Lawrence,-59.569745603551304,-3489,-49.76017054538995,-2801
President,AR,Lee,4.810393258426966,137,16.844207723035954,506
President,AR,Lincoln,-43.79354838709678,-1697,-31.54168851599371,-1203
President,AR,Little River,-48.07803747344022,-2489,-42.50770416024653,-2207
President,AR,Logan,-59.537993920972646,-4897,-51.34583492792448,-4025
President,AR,Lonoke,-52.82760420063923,-16198,-53.291489202719866,-14264
President,AR,Madison,-55.70670657053462,-4095,-49.10056030669419,-3330
President,AR,Marion,-56.67066506730641,-4252,-55.07591545102709,-3700
President,AR,Miller,-46.433541049065276,-7675,-43.83390571339369,-7020
President,AR,Mississippi,-22.18441095446443,-2738,-10.51943055021162,-1367
President,AR,Monroe,-14.133522727272727,-398,-3.6876355748373104,-102
President,AR,Montgomery,-59.77278595404079,-2315,-53.35268505079826,-1838
President,AR,Nevada,-31.477069684335913,-1057,-26.136715125270648,-845
President,AR,Newton,-62.10605302651326,-2483,-58.32216563923881,-2176
President,AR,Ouachita,-13.490497455602867,-1299,-10.393684849711567,-1027
President,AR,Perry,-53.31748433110006,-2467,-46.14289105150724,-1944
President,AR,Phillips,19.32073053508491,1206,26.820423556715983,1849
President,AR,Pike,-67.71078662270372,-2875,-62.335692618806874,-2466
