office_type,district,state,county,fips,margin_pct_1,margin_votes_1,margin_pct_2,margin_votes_2
President,0,SC,Colleton,029,-9.53171187055956,-1838,-8.51372526260809,-1467
President,0,SC,Darlington,031,-4.9726995095166115,-1612,-3.735321905790255,-1107
President,0,SC,Dillon,033,-1.1144187466605602,-146,1.6672366621067032,195
President,0,SC,Dorchester,035,-10.467403400709127,-8089,-17.485551446456302,-10922
President,0,SC,Edgefield,037,-24.285929043896573,-3231,-20.190656131913432,-2351
President,0,SC,Fairfield,039,22.71753460777851,2757,25.87984358336296,2912
President,0,SC,Florence,041,-2.2663152999534955,-1462,-4.96451445386879,-2868
President,0,SC,Georgetown,043,-12.722264644922003,-4665,-13.008026904406865,-4100
President,0,SC,Greenville,045,-18.202630202785148,-46991,-24.69939311440077,-52257
President,0,SC,Greenwood,047,-22.76448165968881,-7286,-21.846153846153847,-6248
President,0,SC,Hampton,049,15.22837184309511,1417,19.103934500795997,1680
President,0,SC,Horry,051,-33.18107975787787,-59641,-37.82077540300234,-47088
President,0,SC,Jasper,053,0.7433652910935112,107,11.880979178390547,1689
President,0,SC,Kershaw,055,-23.11100538225936,-7772,-24.834632034632033,-7171
President,0,SC,Lancaster,057,-22.81021897810219,-11375,-25.518506082599377,-9880
President,0,SC,Laurens,059,-32.29139333508265,-9845,-29.935030596056507,-7925
President,0,SC,Lee,061,27.52935594828609,2321,29.35881627620222,2381
President,0,SC,Lexington,063,-30.100713850921366,-43516,-36.70965041164255,-44723
President,0,SC,McCormick,065,-4.756889591012814,-271,-3.2981783317353788,-172
President,0,SC,Marion,067,21.497551686615886,3161,21.720475487092916,3088
President,0,SC,Marlboro,069,10.88589900401887,1246,16.140249203129528,1671
President,0,SC,Newberry,071,-24.072781922602115,-4485,-22.61982732956237,-3799
President,0,SC,Oconee,073,-47.4181174387725,-19284,-48.06740232627498,-16117
President,0,SC,Orangeburg,075,33.228977065890064,13692,36.959097465485264,14349
President,0,SC,Pickens,077,-50.849754978625796,-29262,-52.72861206032207,-25769
President,0,SC,Richland,079,38.311956331066646,74257,32.850059031877215,55648
President,0,SC,Saluda,081,-35.011861117101574,-3247,-31.73267905129104,-2716
President,0,SC,Spartanburg,083,-27.33443207426592,-40634,-29.979386222711582,-36213
