total_population,median_household_income,median_household_income_black,median_household_income_hispanicOrLatino,median_household_income_white_notHispanic,proportion_white,proportion_white_notHispanic,proportion_black,proportion_hispanicOrLatino,proportion_asian,proportion_bachelorsDegreeOrHigher_white,proportion_bachelorsDegreeOrHigher_white_notHispanic,proportion_bachelorsDegreeOrHigher_black,proportion_bachelorsDegreeOrHigher_hispanicOrLatino,proportion_bachelorsDegreeOrHigher_asian,proportion_less_than_hs_white,proportion_less_than_hs_white_notHispanic,proportion_less_than_hs_black,proportion_less_than_hs_hispanicOrLatino,proportion_less_than_hs_asian,fips,state
8588,31767,24790,57679,57304,0.253609687936656,0.253609687936656,0.716814159292035,0.00710293432696786,0.00873311597578016,0.188246097337006,0.188246097337006,0.0295646523716699,0,0.48,0.141873278236915,0.141873278236915,0.195256660168941,0.868852459016393,0.0533333333333333,141,GA
30178,65940,44955,57679,69839,0.911823182450792,0.899065544436344,0.0466896414606667,0.0220359202067731,0.0060308834250116,0.121779263727877,0.123507297655904,0.0546486870120653,0.183458646616541,0.532967032967033,0.10800595995203,0.10953855226301,0.0787792760823279,0.124812030075188,0,143,GA
34914,85936,65128,75833,91928,0.774102079395085,0.757117488686487,0.15558228790743,0.0444234404536862,0.00667354070000573,0.241906241906242,0.241771960354089,0.174889543446244,0.180528691166989,0.386266094420601,0.0416620416620417,0.0413482635999092,0.0679307805596465,0.0399742101869761,0.11587982832618,145,GA
26110,61765,44583,53933,67765,0.754308693986978,0.743546533895059,0.176445806204519,0.0393718881654538,0.0130984297204136,0.150596598121351,0.152776346966107,0.0759713479487736,0.0398832684824903,0.146198830409357,0.113988321909114,0.111517461625631,0.152593878879965,0.305447470817121,0.0321637426900585,147,GA
11489,62965,55385,57679,63295,0.858299242753939,0.842370963530333,0.085298981634607,0.0318565584472104,0.00513534685351206,0.0806206267112869,0.0821450712957223,0.0561224489795918,0.046448087431694,0.745762711864407,0.112868877395802,0.110766687332093,0.124489795918367,0.153005464480874,0,149,GA
240853,79663,79788,75816,81968,0.398056075697625,0.370724051599939,0.486574798736159,0.076108663790777,0.0334145723740207,0.163601848278452,0.171418971889349,0.199124521089144,0.116633026021494,0.192594433399602,0.0507963660258884,0.0443050733564789,0.0371523896478459,0.103758660193115,0.185884691848907,151,GA
164117,76968,59425,72420,85168,0.562872828530865,0.539182412547146,0.316688703790588,0.0676834209740612,0.0328424233930671,0.232482111348063,0.235441693317814,0.190883903490207,0.117032769175369,0.260111317254174,0.0399341827511177,0.0363548011617263,0.0509677915881017,0.0959668707238027,0.109090909090909,153,GA
9487,46383,27143,81445,53972,0.69041846737641,0.678085801623274,0.262675239801834,0.0414251080425846,0.00210814799198904,0.145190839694657,0.147831493859785,0.0513643659711075,0,0.25,0.109312977099237,0.111145655215296,0.1669341894061,0.155216284987277,0,155,GA
77033,82056,41324,86813,82907,0.821582957953085,0.785689250061662,0.0711123804083964,0.0922202173094648,0.0177066971298015,0.187662943007474,0.190453373868218,0.12486308871851,0.103040540540541,0.269061583577713,0.0767589944540125,0.0731445377040513,0.0918218327856882,0.152167792792793,0.156891495601173,157,GA
14882,57374,38767,53681,67383,0.754401290149173,0.74700981050934,0.185324553151458,0.0407875285579895,0.00100792904179546,0.147412487752739,0.148871098317892,0.0333575054387237,0.1499176276771,0,0.0583414981740447,0.0584690114239453,0.105873821609862,0.14168039538715,1,159,GA
14791,41780,37669,61234,41964,0.712257453857075,0.695963761747008,0.155770400919478,0.131566493137719,0.00256912987627611,0.074703369719981,0.0764523023120264,0.0707465277777778,0.0673175745118191,0.552631578947368,0.124727100142383,0.122207110938411,0.0902777777777778,0.202466598150051,0,161,GA
15591,46865,38245,37931,56339,0.432108267590276,0.41498300301456,0.521967801937015,0.0402155089474697,0.00436149060355333,0.11028647766068,0.11483771251932,0.0443597935610715,0.0398724082934609,0.0294117647058824,0.111919251892534,0.0958268933539413,0.119439665765544,0.555023923444976,0.455882352941176,163,GA
8704,31463,28444,28835,36472,0.57272518382353,0.565027573529412,0.348805147058824,0.0751378676470588,2.297794117647e-4,0.0904714142427282,0.0917039446929646,0.0345849802371542,0,1,0.116950852557673,0.118544123627491,0.19532279314888,0.0229357798165138,0,165,GA
9225,47796,32146,97386,56027,0.62189701897019,0.609972899728997,0.328563685636856,0.0293766937669377,0.00205962059620596,0.0793097437685201,0.0799715656655411,0.0422302870339822,0.018450184501845,1,0.145023531462437,0.146436822463124,0.217749917518971,0.140221402214022,0,167,GA
28382,66288,61500,57679,69419,0.713022338101614,0.702170389683602,0.246247621732084,0.0204002536819111,0.00549644140652526,0.121411276374957,0.12148125846756,0.131063099155816,0.146804835924007,0.102564102564103,0.0550476849335376,0.0558984394600833,0.0691085992273573,0.0500863557858377,0.115384615384615,169,GA
18676,64966,43793,185559,77234,0.670539730134933,0.657956735917755,0.269008352966374,0.0290212036838723,0.00497965303062754,0.129920945460353,0.132405598958333,0.0951433121019108,0,0.0967741935483871,0.0666773137427134,0.0679524739583333,0.0897691082802548,0,0,171,GA
9964,39971,33229,57679,46838,0.677739863508631,0.660578081091931,0.23163388197511,0.0730630268968286,0.0132476916900843,0.112098326669628,0.11501063506533,0.110485268630849,0.163461538461538,0.21969696969697,0.0904783059381016,0.0928289273776968,0.0788561525129983,0.100274725274725,0,173,GA
49407,46776,28395,53112,60299,0.584512316068573,0.572631408504868,0.374440868702815,0.0290849474770781,0.00963426235148866,0.137262370580699,0.139544747631839,0.0723783783783784,0.0918580375782881,0.329831932773109,0.0799542920461235,0.0808709175738725,0.103135135135135,0.0779401530967293,0.289915966386555,175,GA
32968,83632,69907,97458,87724,0.692065032759039,0.686483863140015,0.23735137102645,0.0328197039553506,0.0269048774569279,0.20007889200561,0.200821845174973,0.244600638977636,0.11645101663586,0.367531003382187,0.0486062412342216,0.0490014139271827,0.0562300319488818,0.0425138632162662,0.111612175873732,177,GA
65550,55149,53049,53315,60917,0.411365369946606,0.377284515636918,0.41116704805492,0.126620900076278,0.0187643020594966,0.123530502503245,0.125874408636933,0.125408132977145,0.0734939759036145,0.169918699186992,0.0503986649360282,0.0480773118757834,0.0388839418224993,0.062289156626506,0.0634146341463415,179,GA
7726,50754,38057,176528,57303,0.686254206575201,0.674216929847269,0.281516955733886,0.0221330572094227,7.7659849857623e-4,0.141833270463976,0.144365521213285,0.0754022988505747,0,0,0.0658242172764994,0.0669994240737186,0.170574712643678,0.00584795321637427,1,181,GA
16804,56819,43990,35469,68095,0.582063794334682,0.556653177814806,0.236015234467984,0.11693644370388,0.00773625327303023,0.0813822717513547,0.0800726961727603,0.135148764498235,0.0463104325699746,0.0384615384615385,0.0688068704631428,0.0658541800299337,0.100353000504286,0.249872773536896,0.246153846153846,183,GA
