state,town,county,fips

ME,Presque Isle,Aroostook,003

ME,Princeton,Washington,029

ME,Prospect,Waldo,027

ME,Randolph,Kennebec,011

ME,Rangeley,Franklin,007

ME,Rangeley Plt,Franklin,007

ME,Readfield,Kennebec,011

ME,Reed Plt,Aroostook,003

ME,Ripley,Somerset,025

ME,Robbinston,Washington,029

ME,Rockwood Strip Twp,Somerset,025

ME,Rome,Kennebec,011

ME,Roque Bluffs,Washington,029

ME,Roxbury,Oxford,017

ME,Rumford,Oxford,017

ME,Sabattus,Androscoggin,001

ME,Saint Agatha,Aroostook,003

ME,Saint Albans,Somerset,025

ME,Saint Francis,Aroostook,003

ME,Saint John Plt,Aroostook,003

ME,Sandy River Plt,Franklin,007

ME,Sangerville,Piscataquis,021

ME,Searsmont,Waldo,027

ME,Searsport,Waldo,027

ME,Sebec,Piscataquis,021

ME,Seboeis Plt,Penobscot,019

ME,Sedgwick,Hancock,009

ME,Sherman,Aroostook,003

ME,Shirley,Piscataquis,021

ME,Sidney,Kennebec,011

ME,Skowhegan,Somerset,025

ME,Smithfield,Somerset,025

ME,Smyrna,Aroostook,003

ME,Solon,Somerset,025

ME,Sorrento,Hancock,009

ME,Southwest Harbor,Hancock,009

ME,Springfield,Penobscot,019

ME,Stacyville,Penobscot,019

ME,Starks,Somerset,025

ME,Stetson,Penobscot,019

ME,Steuben,Washington,029

ME,Stockholm,Aroostook,003

ME,Stockton Springs,Waldo,027

ME,Stoneham,Oxford,017

ME,Stonington,Hancock,009

ME,Stow,Oxford,017

ME,Strong,Franklin,007

ME,Sullivan,Hancock,009

ME,Sumner,Oxford,017

ME,Surry,Hancock,009

ME,Swans Island,Hancock,009

ME,Swanville,Waldo,027

ME,Sweden,Oxford,017

ME,Talmadge,Washington,029

ME,Temple,Franklin,007

ME,The Forks Plt,Somerset,025

ME,Thorndike,Waldo,027

ME,Topsfield,Washington,029

ME,Tremont,Hancock,009

ME,Trenton,Hancock,009

ME,Troy,Waldo,027

ME,Turner,Androscoggin,001

ME,Unity,Waldo,027

ME,Upton,Oxford,017

ME,Van Buren,Aroostook,003

ME,Vanceboro,Washington,029

ME,Veazie,Penobscot,019

ME,Verona,Hancock,009

ME,Vienna,Kennebec,011

ME,Wade,Aroostook,003

ME,Waite,Washington,029

ME,Waldo,Waldo,027

ME,Wales,Androscoggin,001

ME,Wallagrass,Aroostook,003

ME,Waltham,Hancock,009

ME,Washburn,Aroostook,003

ME,Waterford,Oxford,017

ME,Wayne,Kennebec,011

ME,Webster Plt,Penobscot,019

ME,Weld,Franklin,007

ME,Wellington,Piscataquis,021

ME,Wesley,Washington,029

ME,West Forks Plt,Somerset,025

ME,West Paris,Oxford,017

ME,Westfield,Aroostook,003

ME,Westmanland,Aroostook,003

ME,Weston,Aroostook,003

ME,Whiting,Washington,029

ME,Whitneyville,Washington,029

ME,Willimantic,Piscataquis,021

ME,Wilton,Franklin,007

ME,Winn,Penobscot,019

ME,Winter Harbor,Hancock,009

ME,Winterport,Waldo,027

ME,Winterville Plt,Aroostook,003

ME,Winthrop,Kennebec,011

ME,Woodland,Aroostook,003

ME,Woodstock,Oxford,017

ME,Woodville,Penobscot,019

NH,Acworth,Sullivan,019

NH,Albany,Carroll,003

NH,Alexandria,Grafton,009

NH,Allenstown,Merrimack,013

NH,Alstead,Cheshire,005

NH,Alton,Belknap,001

NH,Amherst,Hillsborough,011

NH,Andover,Merrimack,013

NH,Antrim,Hillsborough,011

NH,Ashland,Grafton,009

NH,Atkinson,Rockingham,015

NH,Auburn,Rockingham,015

NH,Barnstead,Belknap,001

NH,Barrington,Strafford,017

NH,Bartlett,Carroll,003

NH,Bath,Grafton,009

NH,Bedford,Hillsborough,011

NH,Belmont,Belknap,001

NH,Bennington,Hillsborough,011

NH,Benton,Grafton,009

NH,Berlin,Coös,007

NH,Bethlehem,Grafton,009

NH,Boscawen,Merrimack,013

NH,Bow,Merrimack,013

NH,Bradford,Merrimack,013

NH,Brentwood,Rockingham,015

NH,Bridgewater,Grafton,009

NH,Bristol,Grafton,009

NH,Brookfield,Carroll,003

NH,Brookline,Hillsborough,011

NH,Campton,Grafton,009

NH,Canaan,Grafton,009

NH,Candia,Rockingham,015

NH,Canterbury,Merrimack,013

NH,Carroll,Coös,007

NH,Center Harbor,Belknap,001

NH,Charlestown,Sullivan,019

NH,Chatham,Carroll,003

NH,Chester,Rockingham,015

NH,Chesterfield,Cheshire,005

NH,Chichester,Merrimack,013

NH,Claremont,Sullivan,019

NH,Clarksville,Coös,007

NH,Colebrook,Coös,007

NH,Columbia,Coös,007

NH,Concord,Merrimack,013

NH,Conway,Carroll,003

NH,Cornish,Sullivan,019

NH,Croydon,Sullivan,019

NH,Dalton,Coös,007

NH,Danbury,Merrimack,013

NH,Danville,Rockingham,015

NH,Deerfield,Rockingham,015

NH,Deering,Hillsborough,011

NH,Derry,Rockingham,015

NH,Dixville,Coös,007

NH,Dorchester,Grafton,009

NH,Dover,Strafford,017

NH,Dublin,Cheshire,005

NH,Dummer,Coös,007

NH,Dunbarton,Merrimack,013

NH,Durham,Strafford,017

NH,East Kingston,Rockingham,015

NH,Easton,Grafton,009

NH,Eaton,Carroll,003

NH,Effingham,Carroll,003

NH,Ellsworth,Grafton,009

NH,Enfield,Grafton,009

NH,Epping,Rockingham,015

NH,Epsom,Merrimack,013

NH,Errol,Coös,007

NH,Exeter,Rockingham,015

NH,Farmington,Strafford,017

NH,Fitzwilliam,Cheshire,005

NH,Francestown,Hillsborough,011

NH,Franconia,Grafton,009

NH,Franklin,Merrimack,013

NH,Freedom,Carroll,003

NH,Fremont,Rockingham,015

NH,Gilford,Belknap,001

NH,Gilmanton,Belknap,001

NH,Gilsum,Cheshire,005

NH,Goffstown,Hillsborough,011

NH,Gorham,Coös,007

NH,Goshen,Sullivan,019

NH,Grafton,Grafton,009

NH,Grantham,Sullivan,019

NH,Greenfield,Hillsborough,011

NH,Greenland,Rockingham,015

NH,Greenville,Hillsborough,011

NH,Groton,Grafton,009

NH,Hampstead,Rockingham,015

NH,Hampton,Rockingham,015

NH,Hampton Falls,Rockingham,015

NH,Hancock,Hillsborough,011

NH,Hanover,Grafton,009

NH,Harrisville,Cheshire,005

NH,Harts Location,Carroll,003

NH,Haverhill,Grafton,009

NH,Hebron,Grafton,009

NH,Henniker,Merrimack,013

NH,Hill,Merrimack,013

NH,Hillsborough,Hillsborough,011

NH,Hinsdale,Cheshire,005

NH,Holderness,Grafton,009

NH,Hollis,Hillsborough,011

NH,Hooksett,Merrimack,013

NH,Hopkinton,Merrimack,013

NH,Hudson,Hillsborough,011

NH,Jackson,Carroll,003

NH,Jaffrey,Cheshire,005

NH,Jefferson,Coös,007

NH,Keene,Cheshire,005

NH,Kensington,Rockingham,015

NH,Kingston,Rockingham,015

NH,Laconia,Belknap,001

NH,Lancaster,Coös,007

NH,Landaff,Grafton,009

NH,Langdon,Sullivan,019

NH,Lebanon,Grafton,009

