office_type,state,district,democratic_votes_1,democratic_votes_2,republican_votes_1,republican_votes_2,margin_pct_1,margin_votes_1,margin_pct_2,margin_votes_2,democratic_percent_1,republican_percent_1,democratic_percent_2,republican_percent_2
President,IN,0,1242495,1031953,1729852,1556220,-16.067431140334392,-487357,-19.2601548330308,-524267,40.96320121535093,57.03063235568532,37.91116847028448,57.17132330331528
President,KS,0,558669,414788,758100,656009,-14.777406382936157,-199431,-21.027979946702374,-241221,41.3961663259401,56.17357270887626,36.15835166147551,57.18633160817788
President,KY,0,772474,628834,1326646,1202942,-25.9350570581364,-554172,-29.866955777128297,-574108,36.151514811154044,62.086571869290445,32.713979371746596,62.58093514887489
President,LA,0,856034,779535,1255776,1178004,-18.609425612482323,-399742,-19.650979345879705,-398469,39.85145680152621,58.46088241400854,38.44370875624035,58.09468810212005
President,MA,0,2382202,1964768,1167202,1083069,33.45815197546292,1215000,27.284250096935477,881699,65.6000630059685,32.141911030505575,60.79991186839922,33.51566177146374
President,MD,0,1985023,1497951,976414,873646,33.21037329232836,1008609,25.229102909102814,624305,65.36066486007711,32.15029156774875,60.53445019949138,35.30534729038857
President,ME,0,430473,354873,359899,334838,8.6727947501659,70574,2.7017733126559236,20035,52.90055791776243,44.22776316759653,47.8555727867305,45.153799474074575
President,MI,0,2804040,2268193,2649852,2279805,2.7835275996867477,154188,-0.24237531144872684,-11612,50.62081829082437,47.83729069113762,47.343608749640204,47.58598406108893
President,MN,0,1717077,1366676,1484065,1322891,7.110156900570645,233012,1.5013352059591196,43785,52.39509930974002,45.284942409169375,46.8616830864311,45.36034788047198
President,MO,0,1253014,1054889,1718736,1585753,-15.390874042701132,-465722,-19.129558667838037,-530864,41.40878173618836,56.79965577888949,38.012675588393634,57.142234256231674
President,MS,0,539398,462001,756764,678457,-16.52749665824702,-217366,-18.612073909682568,-216456,41.01330770435637,57.54080436260339,39.72537956142244,58.33745347110501
President,MT,0,244786,174521,343602,274120,-16.313000412711514,-98816,-20.596434051458516,-99599,40.41040033016921,56.72340074288073,36.08982286061699,56.68625691207551
President,NC,0,2684292,2162074,2758773,2339603,-1.3481209549448026,-74481,-3.8347577941410584,-177529,48.586220571564475,49.93434152650928,46.70239861098601,50.537156405127064
President,ND,0,114902,93526,235595,216133,-33.35728637799563,-120693,-36.38535409890554,-122607,31.756762359080092,65.11404873707572,27.75515775978728,64.14051185869282
President,NE,0,374583,273858,556846,485819,-19.057612097296154,-182263,-26.309707337538697,-211961,39.166794753962606,58.224406851258756,33.99268654159809,60.30239387913679
President,NH,0,424921,348521,365654,345789,7.367577042129209,59267,0.37345209438003807,2732,52.82261974317218,45.45504270104298,47.64125087314248,47.26779877876244
President,NJ,0,2608335,2021756,1883274,1535513,15.885710504763779,725061,13.231487284119565,486243,57.14726720847354,41.26155670370976,55.015370515549705,41.78388323143014
President,NM,0,501614,380724,401894,315875,10.792616603442772,99720,8.28077693656329,64849,54.289285849572224,43.49666924612945,48.61586945667816,40.33509252011487
President,NV,0,703486,537753,669890,511319,2.390534632724623,33596,2.353894513753462,26434,50.05678195728403,47.66624732455941,47.88582266983678,45.53192815608331
President,NY,0,5244006,4143874,3250230,2640570,23.139839407256442,1993776,21.335036384989017,1503304,60.86213129794382,37.72229189068737,58.81026230543522,37.4752259204462
President,OH,0,2679165,2317001,3154834,2771984,-8.031961760169613,-475669,-8.543647935974702,-454983,45.239338340705025,53.27130010087464,43.508528475352534,52.05217641132724
President,OK,0,503890,419788,1020280,947934,-33.08709751207632,-516390,-36.39735475405498,-528146,32.28617433598663,65.37327184806296,28.92982765654806,65.32718241060304
President,OR,0,1340383,934631,958448,742506,16.08607260770553,381935,10.623004298964654,192125,56.453318654048886,40.367246046343354,51.67775735040018,41.054753051435526
President,PA,0,3459923,2844705,3378263,2912941,1.179162355754409,81660,-1.1429610893071096,-68236,49.960947286417614,48.7817849306632,47.649145986830725,48.79210707613783
President,RI,0,306210,249902,199837,179421,20.59963244336084,106373,15.658234119270151,70481,59.29900868154064,38.6993762381798,55.51884937605666,39.86061525678651
President,SC,0,1091541,849469,1385103,1143611,-11.68020581467846,-293562,-14.111292987482514,-294142,43.430088142061784,55.11029395674024,40.75278587479443,54.86407886227694
President,SD,0,150471,117442,261043,227701,-26.164137536114943,-110572,-29.795944839439315,-110259,35.60525213613529,61.769389672250234,31.737049618021494,61.53299445746081
President,TN,0,1143711,867110,1852475,1517402,-23.208859895260115,-708764,-26.17194653178202,-650292,37.4514342710237,60.66029416628382,34.898102017514454,61.07004854929647
President,TX,0,5259126,3867816,5890347,4681590,-5.577186461353159,-631221,-9.140203725903287,-813774,46.46728534974343,52.044471811096585,43.44280625125446,52.583009977157744
President,UT,0,560282,274188,865140,452086,-20.483790446613526,-304858,-18.061499131434164,-177898,37.64604858330606,58.129839029919594,27.83756042141941,45.89905955285358
President,VA,0,2413568,1916845,1962430,1731156,10.114013510520289,451138,4.829630354035217,185689,54.10951717780243,43.99550366728214,49.85568771429991,45.026057360264694
