State,Abbreviate,District,Office_type,When to call,Last Poll Close,,Estimated call time,Race to watch,,,
Georgia,GA,2,House,Early results,7:00 PM,6,9:00:00 PM,TRUE,,,
Georgia,GA,3,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Georgia,GA,4,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Georgia,GA,5,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Georgia,GA,6,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Georgia,GA,7,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Georgia,GA,8,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Georgia,GA,9,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Georgia,GA,10,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Georgia,GA,11,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Georgia,GA,12,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Georgia,GA,13,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Georgia,GA,14,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Hawaii,HI,1,House,Poll Closing,12:00 AM,#N/A,12:00:00 AM,,,,
Hawaii,HI,2,House,Poll Closing,12:00 AM,#N/A,12:00:00 AM,,,,
Idaho,ID,1,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
Idaho,ID,2,House,Poll Closing,10:00 PM,#N/A,10:00:00 PM,,,,
Illinois,IL,1,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,2,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,3,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,4,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,5,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,6,House,Exit Poll,8:00 PM,#N/A,8:05:00 PM,,,,
Illinois,IL,7,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,8,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,9,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,10,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,11,House,Exit Poll,8:00 PM,#N/A,8:05:00 PM,,,,
Illinois,IL,12,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,13,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,14,House,Exit Poll,8:00 PM,#N/A,8:05:00 PM,,,,
Illinois,IL,15,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,16,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Illinois,IL,17,House,Early results,8:00 PM,6,10:00:00 PM,TRUE,,,
Indiana,IN,1,House,Lots of results,7:00 PM,7,11:00:00 PM,TRUE,,,
Indiana,IN,2,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Indiana,IN,3,House,Early results,6:00 PM,6,9:30:00 PM,TRUE,,,
Indiana,IN,4,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Indiana,IN,5,House,Early results,6:00 PM,6,9:30:00 PM,TRUE,,,
Indiana,IN,6,House,Early results,6:00 PM,6,9:30:00 PM,TRUE,,,
Indiana,IN,7,House,Early results,6:00 PM,6,9:30:00 PM,TRUE,,,
Indiana,IN,8,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Indiana,IN,9,House,Early results,6:00 PM,6,9:30:00 PM,TRUE,,,
Iowa,IA,1,House,Almost all results,9:00 PM,8,12:00:00 AM,TRUE,,,
Iowa,IA,2,House,Early results,9:00 PM,6,10:30:00 PM,TRUE,,,
Iowa,IA,3,House,Almost all results,9:00 PM,8,12:00:00 AM,TRUE,,,
Iowa,IA,4,House,Poll Closing,9:00 PM,#N/A,9:00:00 PM,,,,
Kansas,KS,1,House,Poll Closing,9:00 PM,#N/A,9:00:00 PM,,,,
Kansas,KS,2,House,Exit Poll,8:00 PM,#N/A,8:05:00 PM,,,,
Kansas,KS,3,House,Early results,8:00 PM,6,10:00:00 PM,TRUE,,,
Kansas,KS,4,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Kentucky,KY,1,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Kentucky,KY,2,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Kentucky,KY,3,House,Early results,6:00 PM,6,9:00:00 PM,TRUE,,,
Kentucky,KY,4,House,Early results,6:00 PM,6,9:00:00 PM,TRUE,,,
Kentucky,KY,5,House,Early results,6:00 PM,6,9:00:00 PM,TRUE,,,
Kentucky,KY,6,House,Early results,6:00 PM,6,9:00:00 PM,TRUE,,,
Louisiana,LA,1,House,No Call,9:00 PM,#N/A,n/a,TRUE,,,
Louisiana,LA,2,House,No Call,9:00 PM,#N/A,n/a,TRUE,,,
Louisiana,LA,3,House,No Call,9:00 PM,#N/A,n/a,TRUE,,,
Louisiana,LA,4,House,Poll Closing,9:00 PM,#N/A,9:00:00 PM,,,,
Louisiana,LA,5,House,No Call,9:00 PM,#N/A,n/a,TRUE,,,
Louisiana,LA,6,House,No Call,9:00 PM,#N/A,n/a,TRUE,,,
Maine,ME,1,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Maine,ME,2,House,Almost all results,8:00 PM,8,next day,TRUE,,,
Maryland,MD,1,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Maryland,MD,2,House,Exit Poll,8:00 PM,#N/A,8:05:00 PM,,,,
Maryland,MD,3,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Maryland,MD,4,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Maryland,MD,5,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Maryland,MD,6,House,Lots of results,8:00 PM,7,next day,TRUE,,,
Maryland,MD,7,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Maryland,MD,8,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Massachusetts,MA,1,House,Exit Poll,8:00 PM,#N/A,8:05:00 PM,,,,
Massachusetts,MA,2,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Massachusetts,MA,3,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Massachusetts,MA,4,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Massachusetts,MA,5,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Massachusetts,MA,6,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Massachusetts,MA,7,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
