town,county,fips
Limestone,Aroostook,3
Lincoln,Penobscot,19
Lincoln Plt,Oxford,17
Lincolnville,Waldo,27
Linneus,Aroostook,3
Lisbon,Androscoggin,1
Littleton,Aroostook,3
Livermore,Androscoggin,1
Livermore Falls,Androscoggin,1
Lovell,Oxford,17
Lowell,Penobscot,19
Lubec,Washington,29
Ludlow,Aroostook,3
Machias,Washington,29
Machiasport,Washington,29
Macwahoc Plt,Aroostook,3
Madawaska,Aroostook,3
Madison,Somerset,25
Magalloway Plt,Oxford,17
Manchester,Kennebec,11
Mapleton,Aroostook,3
Mariaville,Hancock,9
Mars Hill,Aroostook,3
Marshfield,Washington,29
Masardis,Aroostook,3
Mattawamkeag,Penobscot,19
Maxfield,Penobscot,19
Mechanic Falls,Androscoggin,1
Meddybemps,Washington,29
Medford,Piscataquis,21
Medway,Penobscot,19
Mercer,Somerset,25
Merrill,Aroostook,3
Mexico,Oxford,17
Milbridge,Washington,29
Milford,Penobscot,19
Millinocket,Penobscot,19
Milo,Piscataquis,21
Minot,Androscoggin,1
Monmouth,Kennebec,11
Monroe,Waldo,27
Monson,Piscataquis,21
Monticello,Aroostook,3
Montville,Waldo,27
Moose River,Somerset,25
Moro Plt,Aroostook,3
Morrill,Waldo,27
Moscow,Somerset,25
Mount Chase,Penobscot,19
Mount Desert,Hancock,9
Mount Vernon,Kennebec,11
Nashville Plt,Aroostook,3
New Canada,Aroostook,3
New Limerick,Aroostook,3
New Portland,Somerset,25
New Sharon,Franklin,7
New Sweden,Aroostook,3
New Vineyard,Franklin,7
Newburgh,Penobscot,19
Newport,Penobscot,19
Newry,Oxford,17
Norridgewock,Somerset,25
Northfield,Washington,29
Northport,Waldo,27
Norway,Oxford,17
Oakfield,Aroostook,3
Oakland,Kennebec,11
Old Town,Penobscot,19
Orient,Aroostook,3
Orland,Hancock,9
Orono,Penobscot,19
Orrington,Penobscot,19
Osborn,Hancock,9
Otis,Hancock,9
Otisfield,Oxford,17
Oxbow Plt,Aroostook,3
Oxford,Oxford,17
Palermo,Waldo,27
Palmyra,Somerset,25
Paris,Oxford,17
Parkman,Piscataquis,21
Passadumkeag,Penobscot,19
Patten,Penobscot,19
Pembroke,Washington,29
Penobscot,Hancock,9
Penobscot Nation Voting District,Penobscot,19
Perham,Aroostook,3
Perry,Washington,29
Peru,Oxford,17
Phillips,Franklin,7
Pittsfield,Somerset,25
Pleasant Point Voting District,Washington,29
Pleasant Ridge Plt,Somerset,25
Plymouth,Penobscot,19
Poland,Androscoggin,1
Portage Lake,Aroostook,3
Porter,Oxford,17
Presque Isle,Aroostook,3
Princeton,Washington,29
Prospect,Waldo,27
Randolph,Kennebec,11
Rangeley,Franklin,7
Rangeley Plt,Franklin,7
Readfield,Kennebec,11
Reed Plt,Aroostook,3
Ripley,Somerset,25
Robbinston,Washington,29
Rockwood Strip Twp,Somerset,25
Rome,Kennebec,11
Roque Bluffs,Washington,29
Roxbury,Oxford,17
Rumford,Oxford,17
Sabattus,Androscoggin,1
Saint Agatha,Aroostook,3
Saint Albans,Somerset,25
Saint Francis,Aroostook,3
Saint John Plt,Aroostook,3
Sandy River Plt,Franklin,7
Sangerville,Piscataquis,21
Searsmont,Waldo,27
Searsport,Waldo,27
Sebec,Piscataquis,21
Seboeis Plt,Penobscot,19
Sedgwick,Hancock,9
Sherman,Aroostook,3
Shirley,Piscataquis,21
Sidney,Kennebec,11
Skowhegan,Somerset,25
Smithfield,Somerset,25
Smyrna,Aroostook,3
Solon,Somerset,25
Sorrento,Hancock,9
Southwest Harbor,Hancock,9
Springfield,Penobscot,19
Stacyville,Penobscot,19
Starks,Somerset,25
Stetson,Penobscot,19
Steuben,Washington,29
Stockholm,Aroostook,3
Stockton Springs,Waldo,27
Stoneham,Oxford,17
Stonington,Hancock,9
Stow,Oxford,17
Strong,Franklin,7
Sullivan,Hancock,9
Sumner,Oxford,17
Surry,Hancock,9
Swans Island,Hancock,9
Swanville,Waldo,27
Sweden,Oxford,17
Talmadge,Washington,29
Temple,Franklin,7
The Forks Plt,Somerset,25
Thorndike,Waldo,27
Topsfield,Washington,29
Tremont,Hancock,9
Trenton,Hancock,9
Troy,Waldo,27
Turner,Androscoggin,1
Unity,Waldo,27
Upton,Oxford,17
Van Buren,Aroostook,3
Vanceboro,Washington,29
Veazie,Penobscot,19
Verona,Hancock,9
Vienna,Kennebec,11
Wade,Aroostook,3
Waite,Washington,29
Waldo,Waldo,27
Wales,Androscoggin,1
Wallagrass,Aroostook,3
Waltham,Hancock,9
Washburn,Aroostook,3
Waterford,Oxford,17
Wayne,Kennebec,11
Webster Plt,Penobscot,19
Weld,Franklin,7
Wellington,Piscataquis,21
Wesley,Washington,29
West Forks Plt,Somerset,25
West Paris,Oxford,17
Westfield,Aroostook,3
Westmanland,Aroostook,3
Weston,Aroostook,3
Whiting,Washington,29
Whitneyville,Washington,29
Willimantic,Piscataquis,21
Wilton,Franklin,7
Winn,Penobscot,19
Winter Harbor,Hancock,9
Winterport,Waldo,27
Winterville Plt,Aroostook,3
Winthrop,Kennebec,11
Woodland,Aroostook,3
Woodstock,Oxford,17
Woodville,Penobscot,19
