county,office_type,district,state,fips,margin_votes_1,margin_pct_1,democratic_percent_1,republican_percent_1,democratic_votes_1,republican_votes_1,margin_votes_2,margin_pct_2,democratic_percent_2,republican_percent_2,democratic_votes_2,republican_votes_2
Mohave,President,0,AZ,015,-53704,-51.29076930423571,23.7,75,24831,78535,-38171,-51.45102373667255,22.2,73.7,16485,54656
Navajo,President,0,AZ,017,-4274,-8.253673985670973,45.2,53.4,23383,27657,-2803,-7.916066536756192,43.4,51.3,15362,18165
Pima,President,0,AZ,019,97223,18.67034096037332,58.6,39.9,304981,207758,48630,13.479801087697707,54.2,40.8,195649,147019
Pinal,President,0,AZ,021,-31971,-17.278165988423936,40.6,57.9,75106,107077,-18120,-19.31666755503438,38.1,57.4,35737,53857
Santa Cruz,President,0,AZ,023,6944,35.49920760697306,67.2,31.7,13138,6194,7034,47.12582071552995,71.6,24.5,10684,3650
Yavapai,President,0,AZ,025,-41925,-29.260887772194305,34.6,63.9,49602,91527,-29157,-31.4259538693684,32,63.4,29705,58862
Yuma,President,0,AZ,027,-4324,-6.183679890169608,46.1,52.2,32210,36534,-2250,-5.520253195613239,45,50.5,18336,20586
Arkansas,President,0,AR,001,-2486,-39.51048951048951,28.9,68.4,1818,4304,-1886,-30.582130695638075,31.4,62,1939,3825
Ashley,President,0,AR,003,-3423,-43.18697956093868,26.8,70,2125,5548,-2930,-36.501806403388564,30,66.5,2408,5338
Baxter,President,0,AR,005,-11201,-53.32032179749607,22.1,75.4,4635,15836,-10492,-53.60719395054159,21.3,74.9,4163,14655
Benton,President,0,AR,007,-31716,-26.449396223897526,35.2,61.7,42249,73965,-32857,-34.85710042222741,29.6,64.4,27894,60751
Boone,President,0,AR,009,-10588,-61.86747691948113,17.9,79.8,3064,13652,-9300,-58.44645550527903,18.4,76.8,2925,12225
Bradley,President,0,AR,011,-1121,-30.678708264915162,33.2,63.9,1214,2335,-846,-23.389549350290295,36.4,59.8,1317,2163
Calhoun,President,0,AR,013,-1157,-53.02474793767186,22,75,479,1636,-918,-40.8,28.3,69.1,636,1554
Carroll,President,0,AR,015,-3401,-28.829363397473934,34.1,62.9,4023,7424,-3439,-32.2728978978979,31.3,63.6,3334,6773
Chicot,President,0,AR,017,508,12.381184499146965,55.1,42.7,2260,1752,634,15.280790551940227,56.6,41.4,2350,1716
Clark,President,0,AR,019,-1178,-14.032162001191185,41,55,3438,4616,-792,-9.468021518230723,43.1,52.6,3606,4398
Clay,President,0,AR,021,-3124,-60.273972602739725,18.6,78.8,962,4086,-1780,-29.77584476413516,33.4,63.2,1999,3779
Cleburne,President,0,AR,023,-8340,-65.77287066246056,15.7,81.5,1988,10328,-7353,-61.43883689839572,17.6,79,2101,9454
Cleveland,President,0,AR,025,-2216,-61.55555555555556,18.1,79.6,651,2867,-1737,-52.65231888451046,21.9,74.6,723,2460
Columbia,President,0,AR,027,-2686,-31.17455896007428,32.7,63.8,2814,5500,-2316,-26.207989136584814,35.5,61.7,3140,5456
Conway,President,0,AR,029,-3079,-35.451928612550375,30.1,65.6,2615,5694,-2189,-27.931606482072223,33.9,61.8,2655,4844
Craighead,President,0,AR,031,-13637,-35.41066188881099,31,66.4,11921,25558,-12324,-35.243651338366504,30,65.2,10474,22798
Crawford,President,0,AR,033,-13648,-56.65186169108796,20.6,77.2,4959,18607,-12179,-54.97178966373279,20.2,75.2,4476,16655
Crittenden,President,0,AR,035,1181,7.2157389869860085,52,44.8,8514,7333,1415,8.956829978478288,53,44,8368,6953
Cross,President,0,AR,037,-3174,-45.721694036300775,25.5,71.2,1772,4946,-2582,-37.798272580881275,29.2,67,1995,4577
Dallas,President,0,AR,039,-610,-23.027557568893922,36.4,59.4,963,1573,-342,-12.47719810288216,42.5,55,1165,1507
Desha,President,0,AR,041,95,2.281460134486071,48.4,46.1,2016,1921,312,7.382867960246096,52.7,45.3,2227,1915
Drew,President,0,AR,043,-1923,-27.837290098436597,35.1,63,2426,4349,-1603,-24.465811965811966,36.1,60.5,2364,3967
Faulkner,President,0,AR,045,-16074,-29.532593518042184,33.7,63.2,18347,34421,-14645,-31.587007160728152,31.3,62.9,14525,29170
Franklin,President,0,AR,047,-4377,-61.39711039416468,18.2,79.6,1300,5677,-3658,-54.613317408181544,20.5,75.2,1376,5034
Fulton,President,0,AR,049,-2926,-57.159601484664975,20.2,77.4,1035,3961,-2403,-50.65345699831366,22.5,73.1,1067,3470
Garland,President,0,AR,051,-15024,-33.99171926966673,31.8,65.8,14045,29069,-13770,-34.13739246845328,30.5,64.6,12283,26053
Grant,President,0,AR,053,-5526,-67.39024390243902,15.5,82.9,1268,6794,-3753,-54.74835886214442,20.5,75.3,1407,5160
Greene,President,0,AR,055,-9612,-59.701863354037265,19,78.7,3058,12670,-7642,-52.98848980723894,21.2,74.2,3056,10698
Hempstead,President,0,AR,057,-2332,-34.05373831775701,31.2,65.3,2138,4470,-2020,-28.923253150057274,33.9,62.9,2371,4391
Hot Spring,President,0,AR,059,-6120,-48.737755833399696,24.5,73.3,3082,9202,-5016,-42.45450698264918,26.6,69,3137,8153
Howard,President,0,AR,061,-2027,-41.932147290028965,27.7,69.7,1340,3367,-1805,-38.951230038843335,29.1,68.1,1350,3155
Independence,President,0,AR,063,-8444,-58.18632855567806,19.3,77.5,2806,11250,-7047,-52.421334523543855,21.4,73.8,2878,9925
Izard,President,0,AR,065,-3610,-62.1342512908778,17.6,79.7,1021,4631,-2931,-54.318013343217196,20.6,74.9,1111,4042
Jackson,President,0,AR,067,-2228,-43.763504223138874,26.8,70.6,1365,3593,-1679,-32.96681720007854,31.1,64,1583,3262
Jefferson,President,0,AR,069,5460,21.702838063439064,59.5,37.8,14981,9521,6490,25.26963360978079,61.2,35.9,15721,9231
Johnson,President,0,AR,071,-4655,-49.010317961676144,24,73,2283,6938,-3651,-40.58019339779926,26.9,67.5,2421,6072
Lafayette,President,0,AR,073,-918,-34.266517357222845,31.3,65.6,839,1757,-722,-25.4673721340388,36.3,61.7,1028,1750
Lawrence,President,0,AR,075,-3489,-59.569745603551304,18.4,78,1080,4569,-2801,-49.76017054538995,22.4,72.2,1263,4064
Lee,President,0,AR,077,137,4.810393258426966,50,45.2,1423,1286,506,16.844207723035954,57.8,40.9,1735,1229
Lincoln,President,0,AR,079,-1697,-43.79354838709678,26.6,70.4,1032,2729,-1203,-31.54168851599371,32.8,64.4,1252,2455
Little River,President,0,AR,081,-2489,-48.07803747344022,23.7,71.8,1226,3715,-2207,-42.50770416024653,26.9,69.4,1397,3604
Logan,President,0,AR,083,-4897,-59.537993920972646,18.8,78.3,1544,6441,-4025,-51.34583492792448,21.8,73.2,1712,5737
Lonoke,President,0,AR,085,-16198,-52.82760420063923,21.8,74.6,6686,22884,-14264,-53.291489202719866,21.1,74.4,5638,19902
Madison,President,0,AR,087,-4095,-55.70670657053462,21.3,77,1563,5658,-3330,-49.10056030669419,23.4,72.5,1587,4917
Marion,President,0,AR,089,-4252,-56.67066506730641,20.4,77.1,1531,5783,-3700,-55.07591545102709,20.5,75.6,1377,5077
Miller,President,0,AR,091,-7675,-46.433541049065276,25.7,72.1,4245,11920,-7020,-43.83390571339369,26.7,70.5,4273,11293
Mississippi,President,0,AR,093,-2738,-22.18441095446443,36.9,59.1,4558,7296,-1367,-10.51943055021162,43.3,53.8,5621,6988
Monroe,President,0,AR,095,-398,-14.133522727272727,40.7,54.9,1147,1545,-102,-3.6876355748373104,46.9,50.6,1298,1400
Montgomery,President,0,AR,097,-2315,-59.77278595404079,18.9,78.6,731,3046,-1838,-53.35268505079826,21.3,74.7,735,2573
Nevada,President,0,AR,099,-1057,-31.477069684335913,32,63.5,1076,2133,-845,-26.136715125270648,35.8,61.9,1156,2001
Newton,President,0,AR,101,-2483,-62.10605302651326,17.7,79.8,709,3192,-2176,-58.32216563923881,18.7,77.1,699,2875
Ouachita,President,0,AR,103,-1299,-13.490497455602867,41.5,55,3995,5294,-1027,-10.393684849711567,43.7,54.1,4320,5347
Perry,President,0,AR,105,-2467,-53.31748433110006,21.9,75.2,1012,3479,-1944,-46.14289105150724,24.6,70.7,1035,2979
Phillips,President,0,AR,107,1206,19.32073053508491,58,38.7,3623,2417,1849,26.820423556715983,62.3,35.4,4292,2443
Pike,President,0,AR,109,-2875,-67.71078662270372,15.2,82.9,644,3519,-2466,-62.335692618806874,17.3,79.6,684,3150
Poinsett,President,0,AR,111,-4494,-59.75269246110889,18.9,78.7,1424,5918,-1271,-24.05830020821503,35.5,59.6,1878,3149
Polk,President,0,AR,113,-5789,-68.18610129564193,14.7,82.9,1246,7035,-5396,-66.44501908631942,14.9,81.3,1210,6606
Pope,President,0,AR,115,-12309,-50.38064833005894,23.6,74,5772,18081,-10876,-50.48038988164307,22.4,72.8,4818,15694
Prairie,President,0,AR,117,-2132,-61.00143061516452,18.7,79.7,654,2786,-1691,-49.67685076380729,23.9,73.5,812,2503
Pulaski,President,0,AR,119,38260,22.511708912895102,60,37.5,101947,63687,28195,17.875710083181172,56.7,38.8,89377,61182
Randolph,President,0,AR,121,-4140,-60.77510275983558,17.8,78.6,1215,5355,-3083,-48.835735783304294,22.6,71.4,1425,4508
St. Francis,President,0,AR,123,362,5.092853123241418,50.7,45.6,3604,3242,836,11.279007015650297,54.4,43.1,4031,3195
Saline,President,0,AR,125,-23496,-41.250724205130005,28.2,69.4,16060,39556,-22605,-43.495410902233935,25.5,69,13247,35852
Scott,President,0,AR,127,-2479,-69.81132075471699,13.6,83.4,483,2962,-1871,-62.01524693404044,16.8,78.8,507,2378
Searcy,President,0,AR,129,-2777,-69.09679024632993,14.6,83.7,588,3365,-2354,-63.656030286641425,16.3,79.9,601,2955
Sebastian,President,0,AR,131,-16711,-35.449724225710646,30.7,66.2,14487,31198,-16585,-38.07654337993893,28,66,12184,28769
Sevier,President,0,AR,133,-2768,-53.21030372933487,21.5,74.7,1116,3884,-2206,-48.83772415319903,23.8,72.6,1075,3281
Sharp,President,0,AR,135,-4540,-60.00528680941052,18.5,78.5,1398,5938,-3933,-54.7009735744089,20.5,75.2,1472,5405
Stone,President,0,AR,137,-3436,-57.86460087571573,19.9,77.7,1180,4616,-2892,-52.324950244255476,21.5,73.8,1189,4081
Union,President,0,AR,139,-4894,-29.46950081291022,33.6,63.1,5584,10478,-4534,-27.75125474354266,34.7,62.4,5667,10201
Van Buren,President,0,AR,141,-4441,-56.8848469322403,20.4,77.3,1593,6034,-3835,-53.93053016453382,21.8,75.7,1547,5382
Washington,President,0,AR,143,-3680,-3.903846561856873,46.5,50.4,43824,47504,-8122,-10.39243535117014,41.3,51.7,32296,40418
White,President,0,AR,145,-18204,-58.94123360854784,19.4,78.3,5978,24182,-15881,-57.8521729627336,18.8,76.6,5157,21038
Woodruff,President,0,AR,147,-687,-27.746365105008078,34.6,62.3,856,1543,-227,-8.901960784313726,43.8,52.7,1117,1344
Yell,President,0,AR,149,-3942,-58.47797062750334,19,77.5,1284,5226,-3128,-48.95914853654719,23,72,1472,4600
Alameda,President,0,CA,001,481350,62.52403021832428,80.2,17.7,617659,136309,395162,64.44312168233596,79.3,14.9,486351,91189
Alpine,President,0,CA,003,232,31.309041835357625,64.2,32.9,476,244,107,18.608695652173914,55.3,36.7,318,211
Amador,President,0,CA,005,-5432,-24.356559949780287,36.6,60.9,8153,13585,-4335,-25.22401955079716,34.4,59.6,5904,10239
Butte,President,0,CA,007,1696,1.662060720095647,49.4,47.8,50426,48730,-3517,-4.003551629537719,44,48,38676,42193
Calaveras,President,0,CA,009,-6472,-23.82565159770284,37,60.8,10046,16518,-5334,-23.882869168084536,34.6,58.5,7738,13072
Colusa,President,0,CA,011,-1320,-16.601685322600932,40.7,57.3,3234,4554,-892,-13.527449196239004,40.3,53.9,2659,3551
Contra Costa,President,0,CA,013,263509,45.336441684014936,71.6,26.3,416386,152877,180839,43.47383958535671,68.9,25.4,286658,105819
Del Norte,President,0,CA,015,-1784,-15.578064966818022,40.8,56.4,4677,6461,-1649,-17.61563935476979,37.2,54.8,3485,5134
El Dorado,President,0,CA,017,-10217,-8.79729287571682,44.4,53.2,51621,61838,-12390,-13.88577576545479,39.5,53.4,35243,47633
Fresno,President,0,CA,019,28561,7.8290283408578185,52.9,45.1,193025,164464,9711,3.880302400664898,49.4,45.5,123660,113949
Glenn,President,0,CA,021,-3068,-27.169677647892314,35.4,62.5,3995,7063,-2723,-29.03294594306429,32.7,61.7,3065,5788
