"Geography","district","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"5001800US1706","6","IL",725829,0.739,0.055,0.002,0.057,0,0.053,0.094,0.164,92820,0.926,0.45
"5001800US1707","7","IL",732352,0.332,0.39,0.003,0.094,0,0.087,0.093,0.179,81352,0.886,0.492
"5001800US1708","8","IL",730604,0.551,0.046,0.011,0.133,0.001,0.114,0.145,0.268,94702,0.886,0.41
"5001800US1709","9","IL",742949,0.597,0.084,0.005,0.149,0,0.065,0.099,0.141,90087,0.933,0.575
"5001800US1710","10","IL",746076,0.596,0.06,0.009,0.086,0.001,0.116,0.133,0.256,105666,0.908,0.469
"5001800US1711","11","IL",761048,0.647,0.055,0.006,0.089,0.001,0.072,0.132,0.199,105915,0.927,0.462
"5001800US1712","12","IL",749426,0.874,0.054,0.001,0.009,0,0.01,0.052,0.031,65076,0.912,0.238
"5001800US1713","13","IL",725183,0.667,0.19,0.003,0.041,0.001,0.018,0.08,0.046,59299,0.936,0.334
"5001800US1714","14","IL",755370,0.603,0.095,0.008,0.059,0,0.08,0.155,0.239,91558,0.903,0.335
"5001800US1715","15","IL",745893,0.908,0.025,0.002,0.009,0,0.011,0.045,0.03,70766,0.935,0.26
"5001800US1716","16","IL",755171,0.856,0.023,0.003,0.026,0,0.024,0.068,0.078,80425,0.941,0.319
"5001800US1717","17","IL",728697,0.702,0.127,0.009,0.02,0.001,0.037,0.105,0.117,57307,0.904,0.246
"5001800US1801","1","IN",757933,0.632,0.173,0.003,0.016,0,0.071,0.105,0.178,69975,0.904,0.262
"5001800US1802","2","IN",750086,0.771,0.063,0.004,0.016,0.001,0.062,0.083,0.122,65840,0.876,0.252
"5001800US1803","3","IN",764836,0.813,0.054,0.003,0.029,0.001,0.025,0.075,0.07,65351,0.891,0.267
"5001800US1804","4","IN",778072,0.822,0.045,0.004,0.034,0,0.019,0.076,0.075,75704,0.912,0.32
"5001800US1805","5","IN",781999,0.824,0.049,0.002,0.039,0.002,0.012,0.073,0.052,77551,0.936,0.424
"5001800US1806","6","IN",764477,0.795,0.059,0.002,0.052,0,0.029,0.064,0.06,76145,0.913,0.29
"5001800US1807","7","IN",747195,0.472,0.315,0.007,0.022,0,0.078,0.105,0.153,65485,0.891,0.381
"5001800US1808","8","IN",756642,0.883,0.034,0.002,0.01,0.001,0.017,0.053,0.034,62333,0.902,0.237
"5001800US1809","9","IN",760959,0.88,0.022,0.003,0.02,0.001,0.018,0.057,0.043,67082,0.914,0.287
"5001800US1901","1","IA",798244,0.85,0.041,0.002,0.021,0.001,0.02,0.065,0.059,71659,0.945,0.325
"5001800US1902","2","IA",791219,0.872,0.042,0.003,0.015,0.002,0.013,0.054,0.041,69384,0.945,0.296
"5001800US1903","3","IA",821239,0.805,0.054,0.004,0.039,0.001,0.032,0.065,0.088,77054,0.916,0.37
"5001800US1904","4","IA",796302,0.844,0.023,0.006,0.02,0.002,0.029,0.076,0.104,68428,0.925,0.269
"5001800US2001","1","KS",726249,0.782,0.03,0.01,0.017,0,0.046,0.114,0.163,64211,0.896,0.31
"5001800US2002","2","KS",725930,0.743,0.069,0.009,0.02,0.003,0.042,0.113,0.132,62337,0.909,0.283
"5001800US2003","3","KS",749221,0.771,0.053,0.005,0.037,0.001,0.029,0.104,0.108,95141,0.951,0.519
"5001800US2004","4","KS",739147,0.739,0.062,0.009,0.031,0.001,0.042,0.117,0.143,65461,0.908,0.31
"5001800US2101","1","KY",750693,0.853,0.062,0.003,0.006,0.002,0.015,0.06,0.038,54615,0.887,0.21
"5001800US2102","2","KY",775707,0.845,0.056,0.005,0.016,0,0.016,0.062,0.048,63080,0.903,0.231
"5001800US2103","3","KY",733409,0.627,0.209,0.002,0.029,0,0.025,0.107,0.084,62206,0.914,0.36
"5001800US2104","4","KY",768776,0.875,0.033,0.002,0.01,0,0.017,0.064,0.045,77227,0.918,0.317
"5001800US2105","5","KY",738681,0.938,0.016,0.001,0.004,0.001,0.003,0.036,0.013,44175,0.833,0.171
"5001800US2106","6","KY",758888,0.809,0.076,0.003,0.021,0,0.024,0.067,0.063,66269,0.918,0.386
"5001800US2201","1","LA",770713,0.68,0.128,0.018,0.022,0,0.029,0.123,0.131,72467,0.896,0.346
"5001800US2202","2","LA",742904,0.27,0.588,0.006,0.024,0,0.041,0.071,0.087,48717,0.861,0.29
"5001800US2203","3","LA",762638,0.655,0.227,0.004,0.016,0.003,0.012,0.085,0.056,59359,0.883,0.244
"5001800US2204","4","LA",757390,0.566,0.34,0.006,0.01,0.002,0.016,0.059,0.047,50925,0.881,0.208
"5001800US2205","5","LA",754781,0.592,0.326,0.007,0.008,0,0.013,0.054,0.038,48546,0.85,0.207
"5001800US2206","6","LA",785323,0.631,0.221,0.008,0.024,0,0.035,0.08,0.07,71487,0.897,0.322
"5001800US2301","1","ME",700340,0.888,0.019,0.002,0.014,0,0.006,0.071,0.024,86981,0.963,0.456
"5001800US2302","2","ME",695382,0.914,0.016,0.007,0.009,0.001,0.006,0.047,0.02,61748,0.935,0.282
"5001800US2401","1","MD",782957,0.726,0.149,0.002,0.025,0,0.024,0.075,0.062,89269,0.924,0.354
"5001800US2402","2","MD",767891,0.602,0.235,0.002,0.058,0.001,0.031,0.07,0.069,95700,0.938,0.466
"5001800US2403","3","MD",778152,0.575,0.161,0.005,0.111,0,0.06,0.086,0.104,122470,0.935,0.528
"5001800US2404","4","MD",723299,0.115,0.538,0.012,0.048,0.001,0.188,0.098,0.277,84585,0.838,0.342
"5001800US2405","5","MD",812172,0.421,0.425,0.004,0.029,0.001,0.037,0.083,0.079,122220,0.943,0.417
"5001800US2406","6","MD",799719,0.601,0.122,0.009,0.091,0.001,0.081,0.096,0.15,96127,0.904,0.411
"5001800US2407","7","MD",744512,0.3,0.551,0.007,0.03,0,0.054,0.058,0.086,61399,0.878,0.329
"5001800US2408","8","MD",771551,0.454,0.179,0.004,0.136,0.001,0.103,0.124,0.195,132789,0.923,0.646
"5001800US2501","1","MA",767012,0.723,0.062,0.003,0.021,0,0.061,0.129,0.194,72540,0.896,0.316
"5001800US2502","2","MA",798884,0.715,0.045,0.003,0.075,0,0.047,0.115,0.12,95495,0.919,0.478
"5001800US2503","3","MA",767022,0.608,0.05,0.002,0.086,0,0.137,0.117,0.223,95825,0.892,0.413
"5001800US2504","4","MA",783039,0.76,0.039,0.002,0.072,0,0.04,0.086,0.075,109055,0.919,0.512
"5001800US2505","5","MA",776923,0.641,0.056,0.004,0.129,0.001,0.053,0.117,0.118,122808,0.931,0.618
"5001800US2506","6","MA",785015,0.769,0.036,0.003,0.045,0,0.055,0.092,0.123,112489,0.932,0.491
"5001800US2507","7","MA",744098,0.401,0.215,0.002,0.114,0.002,0.096,0.17,0.226,88518,0.876,0.51
"5001800US2508","8","MA",791775,0.645,0.107,0.002,0.108,0,0.051,0.087,0.078,114053,0.924,0.529
"5001800US2509","9","MA",787631,0.83,0.03,0.004,0.013,0,0.038,0.084,0.065,95667,0.932,0.431
"5001800US2601","1","MI",786329,0.898,0.01,0.024,0.004,0,0.008,0.056,0.023,62145,0.935,0.293
"5001800US2602","2","MI",791423,0.887,0.018,0.007,0.007,0,0.014,0.067,0.048,63043,0.916,0.231
"5001800US2603","3","MI",771917,0.718,0.113,0.004,0.029,0,0.031,0.106,0.109,75170,0.921,0.398
"5001800US2604","4","MI",777277,0.772,0.075,0.006,0.025,0,0.042,0.081,0.094,69754,0.926,0.347
"5001800US2605","5","MI",775722,0.859,0.04,0.003,0.008,0,0.014,0.076,0.056,65437,0.921,0.244
"5001800US2606","6","MI",764009,0.702,0.096,0.002,0.107,0,0.013,0.079,0.053,90873,0.949,0.523
"5001800US2607","7","MI",781761,0.816,0.056,0.002,0.038,0,0.016,0.072,0.06,78247,0.948,0.376
"5001800US2608","8","MI",766628,0.769,0.151,0.003,0.01,0,0.011,0.056,0.057,60825,0.916,0.239
"5001800US2609","9","MI",769261,0.89,0.027,0.001,0.015,0,0.015,0.052,0.038,80229,0.933,0.293
"5001800US2610","10","MI",769945,0.715,0.135,0.003,0.067,0.001,0.011,0.068,0.038,71950,0.908,0.301
"5001800US2611","11","MI",769154,0.684,0.132,0.001,0.087,0.001,0.02,0.076,0.057,88617,0.947,0.503
"5001800US2612","12","MI",740559,0.48,0.431,0.002,0.019,0,0.008,0.059,0.031,55778,0.889,0.274
